순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,배역명,영화코드,배우코드,주연배우,역할_배우,배우성별,작가,대표작가(필명),작가필모,작가코드,작가_대표역할,대표작가,작가성별,감독코드,대표감독,감독_대표역할,감독필모,감독성별,F-rated
55.0,워킹걸,2015.1.7,"1,183,887,479",0.1%,"1,201,963,479","149,181","151,550",308,"7,076",한국,한국,"(주)홍필름,(주)수필름",메가박스중앙(주)플러스엠,청소년관람불가,"코미디,멜로/로맨스",정범식,"조여정,클라라,김태우,배유람,정범식,정범식,박주희,백경인,조은영,손진우,배성우,유찬호,김세미,라미란,이민아,황준호,이승원,이시현,조재윤,김영옥,김보연,오나라,박상민,김승주",,20147947,10066680.0,조여정,배우,여자,정범식,정범식,공포체험단 곤지암편|천문: 하늘에 묻는다|곤지암|워킹걸|미쓰GO|외톨이|기담|무서운 이야기 2|무서운 이야기|무서운 이야기 2 '탈출'|무서운 이야기 '해와 달',10061758.0,감독,정범식,남자,10061758.0,정범식,감독,공포체험단 곤지암편|천문: 하늘에 묻는다|곤지암|워킹걸|미쓰GO|외톨이|기담|무서운 이야기 2|무서운 이야기|무서운 이야기 2 '탈출'|무서운 이야기 '해와 달',남자,1
121.0,설해,2015.1.8,"20,767,500",0.0%,"29,770,500","2,796","3,933",34,335,한국,한국,(주)맑음영화사,"(주)마인스 엔터테인먼트,주식회사 마운틴픽쳐스",12세이상관람가,"멜로/로맨스,드라마",김정권,"박해진,이영아,송재희,전무송,최원주,이상민,이기열,윤기호,김수환,김정권,김혜진,박재한,성낙규,김정균,이용녀,오은호,편보승,정재훈",상우,20124398,20126329.0,박해진,배우,남자,"김정권, 김군영",김정권,설해|그 남자의 책 198쪽|바보|화성으로 간 사나이|동감|귀소,10005546.0,감독,김정권,남자,10005546.0,김정권,감독,설해|그 남자의 책 198쪽|바보|화성으로 간 사나이|동감|귀소,남자,0
26.0,허삼관,2015.1.14,"7,408,943,569",0.8%,"7,408,943,569","955,679","955,679",621,"27,645",한국,한국,"(주)두타연,(주)판타지오픽쳐스",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,하정우,"하정우,하지원,전혜진,장광,주진모,성동일,이경영,김영애,정만식,조진웅,김기천,김성균,윤은혜,황보라,강민지,전현석,정우진,이경원,이민호,이수인,이승준,이승호,김재화,김시은,임현성,민무제,강신철",허삼관,20131262,10087253.0,하정우,배우,남자,"하정우, 김주호",하정우,"백두산|PMC: 더 벙커|클로젯|신과함께-인과 연|1987|신과함께-죄와 벌|서서평, 천천히 평온하게|싱글라이더|터널|아가씨|아가씨(확장판)|암살|허삼관|군도: 민란의 시대|롤러코스터|더 테러 라이브|베를린|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|의뢰인|황해|평행이론|국가대표 완결판-못 다한 이야기|국가대표|보트|잘 알지도 못하면서|멋진 하루|비스티 보이즈|추격자|우리 생애 최고의 순간|숨|두 번째 사랑|구미호 가족|시간|용서받지 못한 자|잠복근무|슈퍼스타 감사용|마들렌|보스턴 1947|티파니에서 아침을",10087253.0,배우,하정우,남자,10087253.0,하정우,배우,"백두산|PMC: 더 벙커|클로젯|신과함께-인과 연|1987|신과함께-죄와 벌|서서평, 천천히 평온하게|싱글라이더|터널|아가씨|아가씨(확장판)|암살|허삼관|군도: 민란의 시대|롤러코스터|더 테러 라이브|베를린|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|의뢰인|황해|평행이론|국가대표 완결판-못 다한 이야기|국가대표|보트|잘 알지도 못하면서|멋진 하루|비스티 보이즈|추격자|우리 생애 최고의 순간|숨|두 번째 사랑|구미호 가족|시간|용서받지 못한 자|잠복근무|슈퍼스타 감사용|마들렌|보스턴 1947|티파니에서 아침을",남자,0
16.0,오늘의 연애,2015.1.14,"14,924,654,487",1.7%,"14,924,654,487","1,891,993","1,891,993",709,"47,237",한국,한국,(주)팝콘에프앤엠,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디",박진표,"이승기,문채원,이서진,장진우,이경진,이동진,임하룡,이상협,김광규,김부선,가인,임종윤,남능미,류화영,박지연",,20142407,10056227.0,이승기,배우,남자,"박진표, 이병헌",박진표,오늘의 연애|공범|내 사랑 내 곁에|그놈 목소리|너는 내 운명|죽어도 좋아|신비한 영어나라|여섯 개의 시선,10029363.0,감독,박진표,남자,10029363.0,박진표,감독,오늘의 연애|공범|내 사랑 내 곁에|그놈 목소리|너는 내 운명|죽어도 좋아|신비한 영어나라|여섯 개의 시선,남자,0
149.0,꽃보다 처녀귀신,2015.1.15,"7,909,000",0.0%,"7,909,000","1,567","1,567",5,42,한국,한국,고구마콘텐츠허브(주),고구마콘텐츠허브(주),청소년관람불가,기타,최영민,"안재민,이정민,이정민,박승찬,이현복,최경택,손지훈,우경희,유재훈,이돌,하혜정,한상민,이지은",,20155744,20204727.0,안재민,배우,남자,윤영호,윤영호,꽃보다 처녀귀신|태양의 이면|바이칼|바르도|삼승할망|좀비처럼 걸어봐,10054419.0,감독,윤영호,남자,10072470.0,최영민,촬영,공사중|꽃보다 처녀귀신|일탈여행: 프라이빗 아일랜드|영혼의 부활|스타: 빛나는 사랑|나를 닮은 얼굴|라라 선샤인|내부순환선|거칠마루|풀리쉬 게임|여고괴담 세번째 이야기: 여우계단|중독|재밌는 영화|아프리카|마고|신 도시인|바르도,남자,0
113.0,미라클 여행기,2015.1.15,"20,562,500",0.0%,"21,417,500","3,228","3,399",12,320,한국,한국,"미라클필름,(주)꿈길제작소,허철필름",미라클필름,전체관람가,다큐멘터리,허철,"최미라,김영민,김정민",여행자 ,20148631,20188866.0,최미라,배우,여자,,,,,,,,20114576.0,허철,감독,돌아온다|필름시대사랑|미라클 여행기|영화판,남자,1
119.0,고양이 장례식,2015.1.15,"23,200,900",0.0%,"23,200,900","2,865","2,865",46,394,한국,한국,영화 고양이 장례식 제작 조합,(주)인디플러그,12세이상관람가,멜로/로맨스,이종훈,"강인,박세영,정겨운,강신유,신무호,김민지,이민희,남기준,민지,김병춘,김도영,차민지",,20144601,10005001.0,강인,배우,남자,이종훈,이종훈,고양이 장례식|심판의날,10057421.0,감독,이종훈,남자,10057421.0,이종훈,감독,고양이 장례식|심판의날,남자,0
14.0,강남 1970,2015.1.21,"17,718,699,499",2.0%,"17,718,699,499","2,192,276","2,192,276",841,"53,304",한국,한국,"(주)모베라픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,드라마",유하,"이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호,이가경,한준우,이성우",종대,20136888,20185376.0,이민호,배우,남자,유하,유하,"파이프라인|강남 1970|강남1970(무삭제판)|하울링|쌍화점|비열한 거리|말죽거리 잔혹사|결혼은, 미친짓이다|바람부는 날이면 압구정동에 가야 한다",20111250.0,감독,유하,남자,20111250.0,유하,감독,"파이프라인|강남 1970|강남1970(무삭제판)|하울링|쌍화점|비열한 거리|말죽거리 잔혹사|결혼은, 미친짓이다|바람부는 날이면 압구정동에 가야 한다",남자,0
111.0,생각보다 맑은,2015.1.22,"27,393,900",0.0%,"27,393,900","3,881","3,881",17,458,한국,한국,Studio Allo,"애니메이션 배급, 씨앗,㈜인디스토리",12세이상관람가,애니메이션,한지원,"엄상현,양정화,한지원,한지원,이홍수,이홍수,이홍수,이호민,이영기,유아람,서정원,서정원",,20145202,10047326.0,엄상현,배우,남자,,,,,,,,20180788.0,한지원,감독,생각보다 맑은|26년|학교 가는 길|코피루왁|[작은영화영화제]인디애니페스트 2018 초대전|콕!애니 - [섹션1] Between : 너와 나의 사이|인디애니유랑단2014 - 성장통|동물과 함께 사는 세상 단편 |인디애니씨앗터 2월,여자,1
41.0,내 심장을 쏴라,2015.1.28,"2,856,859,132",0.3%,"2,856,859,132","387,409","387,409",452,"20,042",한국,한국,(주)주피터필름,"(주)리틀빅픽쳐스,(주)이수C&E",15세이상관람가,드라마,문제용,"이민기,여진구,유오성,김정태,김기천,신구,송영창,박충선,박두식,한혜린,이준혁,임문영,정유정,권소영,이규섭,김재화,엄효섭,김보라,장리우,진용욱,곽순우,한태린",,20148553,10055447.0,이민기,배우,남자,"최정미, 문제용, 유선동",최정미,"고산자, 대동여지도|따라지 : 비열한 거리|내 심장을 쏴라",20209326.0,시나리오(각본),최정미,여자,10026804.0,문제용,감독,내 심장을 쏴라|아부의 왕|슈퍼맨이었던 사나이|타짜|내 생애 가장 아름다운 일주일|쌍둥이들|시린 귀를 감싸며,남자,1
351.0,비치하트애솔,2015.1.29,"1,563,200",0.0%,"1,827,700",234,279,5,60,한국,한국,윤윤상회,골든타이드픽처스(주),청소년관람불가,"멜로/로맨스,드라마",이난,"권현상,박란,백동현,최영미,최한솔,윤여진,이소정,이은우,이민지,진용욱,오대환,박명신,서준영",,20143753,20115762.0,권현상,배우,남자,이난,이난,"비치하트애솔|기억의 환|7AM,슬로울리;oppositepage|스윙 다이어리|인디포럼2014 필름2|서울연애|평범한 날들|AMONG |DISTANCE|BETWEEN ",10054989.0,감독,이난,남자,10054989.0,이난,감독,"비치하트애솔|기억의 환|7AM,슬로울리;oppositepage|스윙 다이어리|인디포럼2014 필름2|서울연애|평범한 날들|AMONG |DISTANCE|BETWEEN ",남자,0
86.0,어우동: 주인 없는 꽃,2015.1.29,"60,141,000",0.0%,"68,421,000","12,203","13,123",19,381,한국,한국,"(유)조이앤컨텐츠그룹,㈜리필름",(주)드림팩트엔터테인먼트,청소년관람불가,멜로/로맨스,이수성,"백도빈,송은채,여욱환,남경읍,이종민,이탁건,임준혁,장현희,정서경,박종환,정지나,조경민,주창욱,서재호,최충열,송유진,양정민,이건우,이광기,김선웅,김아람,이상헌,이성근,황소라,황정훈,황주호,정태성,이봄",,20149298,10030280.0,백도빈,배우,남자,이창규,이창규,어우동: 주인 없는 꽃|하쿠나 마타타 - 지라니 이야기,20110319.0,감독,이창규,남자,10056145.0,이수성,감독,로드킬|대가리|독고다이|일진 3|일진 2|메모리즈|일진|미스터 좀비(감독판)|휴가|외도|지렁이|위험한 중독|포장마차|젊은 처제|그리울 련|짓2: 붉은 낙타|어우동: 주인 없는 꽃 무삭제판|어우동: 주인 없는 꽃|연애의 기술|짓|연애의 기술 감독판|전망 좋은 집|전망좋은집:무삭제노출판|미스터좀비,남자,0
123.0,망원동 인공위성,2015.2.5,"19,509,200",0.0%,"20,876,700","2,560","2,972",21,410,한국,한국,플레인 픽처스,(주)시네마달,12세이상관람가,다큐멘터리,김형주,"송호준,조성윤,송호준,유지선,홍성훈",,20133803,20220936.0,송호준,배우,남자,,,,,,,,20179028.0,김형주,감독,로드쇼|망원동 인공위성|요코하마에서의 춤 2008|[인디포럼2016] 신작03 외침과 속삭임|네마프2015 대안영화 단편,남자,0
54.0,최강전사 미니특공대 : 새로운 악당의 습격,2015.2.5,"1,171,479,200",0.1%,"1,171,479,200","155,348","155,348",318,"4,610",한국,한국,(주)삼지애니메이션,에이원엔터테인먼트,전체관람가,애니메이션,이영준,"엄상현,전태열,신용우",,20156441,10047326.0,엄상현,배우,남자,"신현덕, 박상글, 김수훈, 최가희, 최인희",신현덕,"미니특공대X|파워배틀 와치카: 와치가면의 역습|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|안녕, 전우치! 도술로봇대결전|최강전사 미니특공대 : 새로운 악당의 습격",20229771.0,시나리오(각본),신현덕,남자,20186877.0,이영준,감독,미니특공대X|파워배틀 와치카: 와치가면의 역습|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|최강전사 미니특공대 : 새로운 악당의 습격|뽀로로 극장판 슈퍼썰매 대모험,남자,0
17.0,쎄시봉,2015.2.5,"13,571,515,911",1.5%,"13,571,515,911","1,715,370","1,715,370",829,"51,744",한국,한국,"유한회사 제이필름,(주)무브픽쳐스",씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디,드라마",김현석,"김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래,김인권,장미진,강명찬,정수교,조성관,천준호,최남주,최성택,최성택,최충열,송민석,박소담,오하늬,윤준호,이미소,김승찬,이병훈,이상희,이승현,안재홍,이대연,이동훈,권해효,최유화",,20148188,10005276.0,김윤석,배우,남자,김현석,김현석,아이 캔 스피크|쎄시봉|열한시|잉투기|시라노; 연애조작단|스카우트|광식이 동생 광태|YMCA야구단|공동경비구역 JSA|섬|해가 서쪽에서 뜬다면|사랑하기 좋은 날,10006261.0,감독,김현석,남자,10006261.0,김현석,감독,아이 캔 스피크|쎄시봉|열한시|잉투기|시라노; 연애조작단|스카우트|광식이 동생 광태|YMCA야구단|공동경비구역 JSA|섬|해가 서쪽에서 뜬다면|사랑하기 좋은 날,남자,0
9.0,조선명탐정 : 사라진 놉의 딸,2015.2.11,"30,456,879,428",3.5%,"30,456,879,428","3,872,015","3,872,015",825,"80,499",한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,코미디,어드벤처",김석윤,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민,이정은,박수영",,20149570,10004060.0,김명민,배우,남자,"김수진, 이남규",김수진,출국|조선명탐정 : 사라진 놉의 딸|누구에게나 찬란한|모던보이|올드미스다이어리,20160659.0,시나리오(각본),김수진,여자,10004484.0,김석윤,감독,조선명탐정: 흡혈괴마의 비밀|조선명탐정 : 사라진 놉의 딸|조선명탐정 : 각시투구꽃의 비밀|올드미스다이어리,남자,1
