movieNm,money,break_even point
부산행,86,3200000
택시운전사,120,4500000
베테랑,60,2800000
신과함께인과 연,400,6000000
극한직업,60,2000000
기생충,130,3700000
암살,220,6500000
검사외전,60,2500000
신과함께-죄와 벌,400,6000000
공조,100,3000000
나쁜 녀석들: 더 무비,81,2550000
봉오동 전투,190,4500000
엑시트,130,3500000
걸갑스,50,1500000
항거: 유관순 이야기,10,500000
뺑반,130,4000000
말모이,110,3000000
마약왕,150,4000000
스윙키즈,153,3700000
국가부도의 날,80,2600000
미쓰백,16.5,700000
암수살인,80,2000000
안시성,200,6000000
협상,100,3000000
물괴,125,3000000
마녀,65,2400000
허스토리,25,-
미씽: 사라진 여자,30,1500000
탐정: 리턴즈,50,1800000
돈,80,2000000
