순위,영화명,개봉일,스크린수,스크린점유율,매출액,누적매출액,관객수,누적관객수
1,국제시장,2014-12-17,941,35.8%,6129982500,47219550096,751754,6097431
2,"님아, 그 강을 건너지 마오",2014-11-27,473,18.0%,1479015600,31324845079,178941,4025319
3,기술자들,2014-12-24,464,17.7%,1299883700,14952363848,160371,1938454
4,상의원,2014-12-24,258,9.8%,230484800,5524209364,28439,705071
5,개를 훔치는 완벽한 방법,2014-12-31,196,7.5%,299346400,608002300,37741,80633
6,더 테너 리리코 스핀토,2014-12-31,169,6.4%,69620500,200984700,8446,26316
7,뽀로로 극장판 눈요정 마을 대모험,,66,2.5%,27846600,1188395900,5561,237436
8,쿼바디스,2014-12-10,12,0.5%,4046900,117029800,509,15399
9,목숨,2014-12-04,10,0.4%,1399500,275635600,179,35844
10,그 사람 그 사랑 그 세상,2014-11-20,7,0.3%,9467000,162552500,1202,22070
11,파티51,2014-12-11,4,0.2%,225000,13434800,34,1804
11,다이빙벨,2014-10-23,4,0.2%,627000,336231500,79,48571
13,카트,2014-11-13,3,0.1%,1720800,5914397433,198,812688
13,민우씨 오는 날,,3,0.1%,87000,3415500,17,695
13,"제자, 옥한흠",2014-10-30,3,0.1%,687000,356418200,87,48547
16,빅매치,2014-11-27,2,0.1%,0,8952096578,0,1177438
16,거인,2014-11-13,2,0.1%,156000,175489400,23,23176
16,두 번째 엄마,2014-12-31,2,0.1%,32000,552000,4,153
19,명기,2014-12-30,1,0.0%,9000,647000,1,242
19,GROW: 인피니트의 리얼 청춘 라이프,2014-12-04,1,0.0%,54000,189463200,9,23874
19,장군의 아들,1990-06-09,1,0.0%,416000,1446000,208,723
19,앙상블,2014-12-18,1,0.0%,140000,6045500,16,778
19,숫호구,2014-08-07,1,0.0%,14000,16270000,2,2105
19,카토 프로젝트,2014-04-17,1,0.0%,2000,1886000,1,619
19,자유의 언덕,2014-09-04,1,0.0%,207000,309165827,23,38101
19,한여름의 판타지아,2015-06-11,1,0.0%,374600,996100,48,148
1,국제시장,2014-12-17,930,35.5%,3782877729,51002427825,470690,6568121
2,기술자들,2014-12-24,481,18.4%,758620771,15710984619,95119,2033573
3,"님아, 그 강을 건너지 마오",2014-11-27,471,18.0%,809774300,32134619379,100585,4125904
4,상의원,2014-12-24,264,10.1%,149272900,5673482264,18455,723526
5,개를 훔치는 완벽한 방법,2014-12-31,199,7.6%,177849329,785851629,23074,103707
6,더 테너 리리코 스핀토,2014-12-31,172,6.6%,35432072,236416772,4538,30854
7,뽀로로 극장판 눈요정 마을 대모험,,50,1.9%,15771200,1204167100,3214,240650
8,쿼바디스,2014-12-10,14,0.5%,2486500,119516300,332,15731
9,목숨,2014-12-04,9,0.3%,589500,276225100,75,35919
10,그 사람 그 사랑 그 세상,2014-11-20,6,0.2%,9268000,171820500,1160,23230
11,카트,2014-11-13,4,0.2%,1556000,5915953433,176,812864
12,"제자, 옥한흠",2014-10-30,3,0.1%,252000,356670200,29,48576
12,다이빙벨,2014-10-23,3,0.1%,353000,336584500,46,48617
