,영화명,점유율집계일,매출액,개봉n일차(int),좌석판매율,좌석수,스크린수,관객수,좌석점유율,상영횟수,총공급좌석수,F-rated
0,조선명탐정 : 사라진 놉의 딸,2015-02-02,6083000,-9,100.0,869,4,869,0.04,4,5203321.0,1
1,조선명탐정 : 사라진 놉의 딸,2015-02-03,18225000,-8,100.0,2025,9,2025,0.09,9,5203321.0,1
2,조선명탐정 : 사라진 놉의 딸,2015-02-04,23160000,-7,97.4,2972,14,2895,0.13,14,5203321.0,1
3,조선명탐정 : 사라진 놉의 딸,2015-02-05,16891000,-6,99.5,2425,7,2413,0.1,7,5203321.0,1
4,조선명탐정 : 사라진 놉의 딸,2015-02-11,853823300,0,14.9,762037,740,113443,32.28,3670,5203321.0,1
5,조선명탐정 : 사라진 놉의 딸,2015-02-12,825063900,1,14.3,771903,766,110284,32.18,3741,5203321.0,1
6,조선명탐정 : 사라진 놉의 딸,2015-02-13,1097163581,2,17.2,802301,769,137631,32.54,3889,5203321.0,1
7,조선명탐정 : 사라진 놉의 딸,2015-02-14,2604862268,3,37.9,850010,811,322022,32.47,4111,5203321.0,1
8,조선명탐정 : 사라진 놉의 딸,2015-02-15,2147212100,4,32.6,828623,810,269925,32.38,3985,5203321.0,1
9,조선명탐정 : 사라진 놉의 딸,2015-02-16,728943900,5,12.6,778462,751,97742,32.25,3727,5203321.0,1
10,조선명탐정 : 사라진 놉의 딸,2015-02-17,1120622200,6,18.7,793595,746,148087,31.5,3812,5203321.0,1
11,조선명탐정 : 사라진 놉의 딸,2015-02-18,2407918800,7,33.7,879892,804,296713,33.0,4183,5203321.0,1
12,조선명탐정 : 사라진 놉의 딸,2015-02-19,3644633700,8,50.2,880052,825,441844,33.37,4184,5203321.0,1
13,조선명탐정 : 사라진 놉의 딸,2015-02-20,3972232188,9,57.1,871153,813,497065,32.02,4167,5203321.0,1
14,조선명탐정 : 사라진 놉의 딸,2015-02-21,3383603091,10,49.5,859910,817,425279,31.66,4136,5203321.0,1
15,조선명탐정 : 사라진 놉의 딸,2015-02-22,2237192500,11,34.8,815260,804,283431,31.31,3921,5203321.0,1
16,조선명탐정 : 사라진 놉의 딸,2015-02-23,532721300,12,10.2,713989,706,72837,29.83,3477,5203321.0,1
17,조선명탐정 : 사라진 놉의 딸,2015-02-24,479962500,13,9.4,704441,720,66290,29.43,3441,5203321.0,1
18,조선명탐정 : 사라진 놉의 딸,2015-02-25,452136500,14,12.0,582540,666,70091,24.15,2883,5203321.0,1
19,조선명탐정 : 사라진 놉의 딸,2015-02-26,358879000,15,12.1,411031,472,49726,16.76,2128,5203321.0,1
20,조선명탐정 : 사라진 놉의 딸,2015-02-27,429177500,16,13.3,423164,479,56335,16.87,2192,5203321.0,1
21,조선명탐정 : 사라진 놉의 딸,2015-02-28,910341400,17,27.4,426387,502,116719,16.31,2228,5203321.0,1
22,조선명탐정 : 사라진 놉의 딸,2015-03-01,750487500,18,23.2,407499,503,94690,16.09,2132,5203321.0,1
23,조선명탐정 : 사라진 놉의 딸,2015-03-02,170882500,19,6.7,350960,447,23392,15.42,1908,5203321.0,1
24,조선명탐정 : 사라진 놉의 딸,2015-03-03,159864400,20,6.2,352802,444,21998,15.63,1902,5203321.0,1
25,조선명탐정 : 사라진 놉의 딸,2015-03-04,131698200,21,5.2,343779,432,17866,15.42,1865,5203321.0,1
26,조선명탐정 : 사라진 놉의 딸,2015-03-05,71966600,22,6.2,160802,356,9960,6.79,1097,5203321.0,1
27,조선명탐정 : 사라진 놉의 딸,2015-03-06,99762300,23,7.7,167074,362,12796,6.84,1149,5203321.0,1
28,조선명탐정 : 사라진 놉의 딸,2015-03-07,288680800,24,22.3,164959,397,36759,6.37,1150,5203321.0,1
29,조선명탐정 : 사라진 놉의 딸,2015-03-08,248475300,25,20.2,157338,389,31771,6.25,1091,5203321.0,1
30,조선명탐정 : 사라진 놉의 딸,2015-03-09,53472400,26,5.4,135587,334,7289,5.97,953,5203321.0,1
31,조선명탐정 : 사라진 놉의 딸,2015-03-10,52439500,27,5.3,136221,332,7171,6.03,960,5203321.0,1
32,조선명탐정 : 사라진 놉의 딸,2015-03-11,56813100,28,5.8,138012,339,8062,6.05,973,5203321.0,1
33,조선명탐정 : 사라진 놉의 딸,2015-03-12,9510200,29,5.0,27132,141,1344,1.13,211,5203321.0,1
34,조선명탐정 : 사라진 놉의 딸,2015-03-13,12244500,30,6.0,27561,134,1639,1.11,215,5203321.0,1
35,조선명탐정 : 사라진 놉의 딸,2015-03-14,35589800,31,17.3,26982,146,4675,1.02,208,5203321.0,1
36,조선명탐정 : 사라진 놉의 딸,2015-03-15,31876800,32,16.8,24614,140,4131,0.96,194,5203321.0,1
37,조선명탐정 : 사라진 놉의 딸,2015-03-16,9710400,33,6.2,23610,123,1465,1.01,176,5203321.0,1
38,조선명탐정 : 사라진 놉의 딸,2015-03-17,6839400,34,4.5,21606,120,964,0.93,166,5203321.0,1
