,상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회
0,2018-01-01,01관,"07:50,  신과함께-죄와 벌(디지털),  7,000원","10:40,  신과함께-죄와 벌(디지털),  11,000원","13:30,  신과함께-죄와 벌(디지털),  11,000원","16:20,  신과함께-죄와 벌(디지털),  11,000원","19:10,  신과함께-죄와 벌(디지털),  11,000원","22:00,  신과함께-죄와 벌(디지털),  10,000원","24:50,  신과함께-죄와 벌(디지털),  9,000원","28:00,  신과함께-죄와 벌(디지털),  9,000원",,,,
1,2018-01-01,02관,"07:10,  위대한 쇼맨(디지털),  9,000원","09:20,  광인옥한흠(디지털),  7,000원","11:30,  신과함께-죄와 벌(디지털),  11,000원","14:20,  신과함께-죄와 벌(디지털),  11,000원","17:20,  신과함께-죄와 벌(디지털),  11,000원","20:05,  신과함께-죄와 벌(디지털),  11,000원","22:55,  신과함께-죄와 벌(디지털),  11,000원","25:45,  신과함께-죄와 벌(디지털),  9,000원","28:40,  신과함께-죄와 벌(디지털),  9,000원",,,
2,2018-01-01,03관,"06:30,  1987(디지털),  9,000원","09:10,  1987(디지털),  9,000원","11:50,  1987(디지털),  11,000원","14:30,  1987(디지털),  11,000원","17:10,  1987(디지털),  11,000원","19:50,  1987(디지털),  11,000원","22:30,  1987(디지털),  11,000원","25:10,  1987(디지털),  9,000원","27:50,  1987(디지털),  9,000원",,,
3,2018-01-01,04관(SCREENX),"07:30,  1987(디지털),  7,000원","10:10,  원더(디지털),  11,000원","12:40,  원더(디지털),  11,000원","15:10,  원더(디지털),  11,000원","17:40,  원더(디지털),  11,000원","20:10,  원더(디지털),  11,000원","22:40,  위대한 쇼맨(디지털),  10,000원","25:00,  위대한 쇼맨(디지털),  9,000원","27:10,  강철비(디지털),  9,000원",,,
4,2018-01-01,05관,"06:50,  신과함께-죄와 벌(디지털),  7,000원","09:40,  신과함께-죄와 벌(디지털),  7,000원","12:30,  신과함께-죄와 벌(디지털),  11,000원","15:20,  신과함께-죄와 벌(디지털),  11,000원","18:10,  신과함께-죄와 벌(디지털),  11,000원","21:00,  신과함께-죄와 벌(디지털),  11,000원","24:00,  신과함께-죄와 벌(디지털),  11,000원","26:50,  1987(디지털),  9,000원",,,,
5,2018-01-01,06관,"07:40,  강철비(디지털),  9,000원","10:30,  강철비(디지털),  11,000원","13:20,  강철비(디지털),  11,000원","16:10,  1987(디지털),  11,000원","18:50,  1987(디지털),  11,000원","21:30,  1987(디지털),  10,000원","24:10,  강철비(디지털),  9,000원","27:00,  신과함께-죄와 벌(디지털),  9,000원",,,,
6,2018-01-02,01관,"07:30,  신과함께-죄와 벌(디지털),  6,000원","10:20,  신과함께-죄와 벌(디지털),  9,000원","13:10,  신과함께-죄와 벌(디지털),  10,000원","16:00,  신과함께-죄와 벌(디지털),  10,000원","18:50,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  10,000원","24:30,  신과함께-죄와 벌(디지털),  9,000원","27:20,  신과함께-죄와 벌(디지털),  8,000원",,,,
7,2018-01-02,02관,"08:10,  위대한 쇼맨(디지털),  6,000원","10:30,  원더(디지털),  9,000원","12:50,  원더(디지털),  9,000원","15:10,  원더(디지털),  10,000원","17:40,  원더(디지털),  10,000원","20:00,  위대한 쇼맨(디지털),  10,000원","22:30,  위대한 쇼맨(디지털),  9,000원","24:50,  강철비(디지털),  8,000원","27:40,  위대한 쇼맨(디지털),  8,000원",,,
8,2018-01-02,03관,"06:50,  1987(디지털),  6,000원","09:30,  1987(디지털),  6,500원","12:05,  1987(디지털),  9,000원","14:50,  1987(디지털),  10,000원","17:30,  1987(디지털),  10,000원","20:10,  1987(디지털),  10,000원","22:50,  1987(디지털),  9,000원","25:25,  1987(디지털),  8,000원","28:00,  신과함께-죄와 벌(디지털),  8,000원",,,
9,2018-01-02,04관(SCREENX),"07:00,  위대한 쇼맨(디지털),  6,000원","09:10,  광인옥한흠(디지털),  6,000원","11:20,  신과함께-죄와 벌(디지털),  9,000원","14:10,  신과함께-죄와 벌(디지털),  10,000원","17:00,  신과함께-죄와 벌(디지털),  10,000원","19:50,  신과함께-죄와 벌(디지털),  10,000원","22:40,  신과함께-죄와 벌(디지털),  9,000원","25:35,  신과함께-죄와 벌(디지털),  8,000원","28:25,  1987(디지털),  9,000원",,,
10,2018-01-02,05관,"06:30,  신과함께-죄와 벌(디지털),  9,000원","09:20,  신과함께-죄와 벌(디지털),  9,000원","12:15,  신과함께-죄와 벌(디지털),  9,000원","15:00,  신과함께-죄와 벌(디지털),  10,000원","17:50,  신과함께-죄와 벌(디지털),  10,000원","20:40,  신과함께-죄와 벌(디지털),  10,000원","23:30,  신과함께-죄와 벌(디지털),  9,000원","26:20,  1987(디지털),  8,000원",,,,
11,2018-01-02,06관,"07:10,  강철비(디지털),  6,500원","10:00,  강철비(디지털),  7,500원","13:00,  강철비(디지털),  9,000원","15:50,  1987(디지털),  10,000원","18:30,  1987(디지털),  9,000원","21:10,  1987(디지털),  10,000원","23:50,  1987(디지털),  9,000원","26:30,  신과함께-죄와 벌(디지털),  8,000원",,,,
12,2018-01-03,01관,"07:25,  신과함께-죄와 벌(디지털),  6,000원","10:20,  신과함께-죄와 벌(디지털),  9,000원","13:10,  신과함께-죄와 벌(디지털),  10,000원","16:00,  신과함께-죄와 벌(디지털),  10,000원","18:50,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  6,000원","24:50,  신과함께-죄와 벌(디지털),  8,000원","27:40,  신과함께-죄와 벌(디지털),  8,000원",,,,
13,2018-01-03,02관,"07:00,  쥬만지: 새로운 세계(디지털),  6,500원","09:30,  쥬만지: 새로운 세계(디지털),  9,000원","12:00,  쥬만지: 새로운 세계(디지털),  9,000원","14:30,  쥬만지: 새로운 세계(디지털),  10,000원","17:00,  쥬만지: 새로운 세계(디지털),  10,000원","19:30,  쥬만지: 새로운 세계(디지털),  10,000원","22:00,  쥬만지: 새로운 세계(디지털),  10,000원","24:35,  쥬만지: 새로운 세계(디지털),  8,000원","27:20,  강철비(디지털),  8,000원",,,
14,2018-01-03,03관,"07:35,  1987(디지털),  6,000원","10:10,  1987(디지털),  9,000원","12:50,  1987(디지털),  9,000원","15:30,  1987(디지털),  10,000원","18:10,  1987(디지털),  9,000원","20:50,  1987(디지털),  10,000원","23:25,  1987(디지털),  9,000원","26:05,  1987(디지털),  8,000원","28:40,  신과함께-죄와 벌(디지털),  9,000원",,,
15,2018-01-03,04관(SCREENX),"08:00,  강철비(디지털),  6,500원","10:50,  강철비(디지털),  9,000원","13:40,  강철비(디지털),  10,000원","16:30,  1987(디지털),  10,000원","19:10,  1987(디지털),  10,000원","21:50,  1987(디지털),  10,000원","24:25,  1987(디지털),  8,000원","27:05,  쥬만지: 새로운 세계(디지털),  8,000원",,,,
16,2018-01-03,05관,"06:30,  신과함께-죄와 벌(디지털),  6,500원","09:20,  신과함께-죄와 벌(디지털),  6,500원","12:10,  신과함께-죄와 벌(디지털),  9,000원","15:00,  신과함께-죄와 벌(디지털),  10,000원","17:50,  신과함께-죄와 벌(디지털),  10,000원","20:40,  신과함께-죄와 벌(디지털),  10,000원","23:35,  신과함께-죄와 벌(디지털),  9,000원","26:25,  신과함께-죄와 벌(디지털),  8,000원",,,,
17,2018-01-03,06관,"06:50,  위대한 쇼맨(디지털),  6,500원","09:00,  위대한 쇼맨(디지털),  7,500원","11:10,  신과함께-죄와 벌(디지털),  9,000원","14:00,  신과함께-죄와 벌(디지털),  10,000원","16:50,  신과함께-죄와 벌(디지털),  8,000원","19:45,  위대한 쇼맨(디지털),  10,000원","21:55,  위대한 쇼맨(디지털),  10,000원","24:10,  신과함께-죄와 벌(디지털),  8,000원","27:00,  1987(디지털),  9,000원",,,
18,2018-01-04,01관,"07:30,  신과함께-죄와 벌(디지털),  6,000원","10:20,  신과함께-죄와 벌(디지털),  9,000원","13:10,  신과함께-죄와 벌(디지털),  10,000원","16:00,  신과함께-죄와 벌(디지털),  10,000원","18:50,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  10,000원","24:30,  신과함께-죄와 벌(디지털),  8,000원","27:15,  신과함께-죄와 벌(디지털),  8,000원",,,,
19,2018-01-04,02관,"07:40,  쥬만지: 새로운 세계(디지털),  6,500원","10:05,  쥬만지: 새로운 세계(디지털),  9,000원","12:30,  쥬만지: 새로운 세계(디지털),  9,000원","14:55,  쥬만지: 새로운 세계(디지털),  10,000원","17:25,  쥬만지: 새로운 세계(디지털),  10,000원","20:00,  쥬만지: 새로운 세계(디지털),  10,000원","22:25,  쥬만지: 새로운 세계(디지털),  9,000원","24:55,  쥬만지: 새로운 세계(디지털),  8,000원","27:40,  1987(디지털),  9,000원",,,
20,2018-01-04,03관,"08:40,  1987(디지털),  6,000원","11:20,  1987(디지털),  9,000원","13:55,  1987(디지털),  10,000원","16:35,  1987(디지털),  10,000원","19:20,  1987(디지털),  10,000원","22:00,  1987(디지털),  10,000원","24:40,  1987(디지털),  9,000원","27:25,  쥬만지: 새로운 세계(디지털),  8,000원",,,,
21,2018-01-04,04관(SCREENX),"06:50,  위대한 쇼맨(디지털),  6,500원","09:00,  위대한 쇼맨(디지털),  9,000원","11:10,  신과함께-죄와 벌(디지털),  9,000원","14:05,  신과함께-죄와 벌(디지털),  10,000원","17:05,  위대한 쇼맨(디지털),  10,000원","19:40,  신과함께-죄와 벌(디지털),  10,000원","22:40,  위대한 쇼맨(디지털),  9,000원","25:15,  강철비(디지털),  9,000원","28:20,  신과함께-죄와 벌(디지털),  8,000원",,,
22,2018-01-04,05관,"06:30,  신과함께-죄와 벌(디지털),  6,000원","09:20,  신과함께-죄와 벌(디지털),  7,000원","12:10,  신과함께-죄와 벌(디지털),  9,000원","15:05,  신과함께-죄와 벌(디지털),  10,000원","17:50,  신과함께-죄와 벌(디지털),  10,000원","20:40,  신과함께-죄와 벌(디지털),  10,000원","23:35,  신과함께-죄와 벌(디지털),  9,000원","26:25,  신과함께-죄와 벌(디지털),  9,000원",,,,
