,영화코드,영화명,개봉일,점유율집계일,개봉n일차,개봉n일차(int),상영횟수,상영점유율,상영점유율순위,스크린수,스크린점유율,스크린점유율순위,좌석수,좌석판매율,좌석점유율,좌석점유율순위,매출액,누적매출액,관객수,누적관객수,총공급좌석수,F-rated
0,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-02,-9 days +00:00:00.000000000,-9,4,0.047,15,4,0.2,14,869,100.0,0.04,12,6083000,6083000,869,869,5791947.0,1
1,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-03,-8 days +00:00:00.000000000,-8,9,0.109,10,9,0.4,10,2025,100.0,0.09,10,18225000,24308000,2025,2894,5791947.0,1
2,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-04,-7 days +00:00:00.000000000,-7,14,0.16899999999999998,9,14,0.6,9,2972,97.4,0.13,9,23160000,47468000,2895,5789,5791947.0,1
3,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-05,-6 days +00:00:00.000000000,-6,7,0.084,13,7,0.3,13,2425,99.5,0.1,11,16891000,64359000,2413,8202,5791947.0,1
4,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-11,0 days 00:00:00.000000000,0,3670,46.036,1,740,34.1,1,762037,14.9,32.28,1,853823300,918182300,113443,121645,5791947.0,1
5,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-12,1 days 00:00:00.000000000,1,3741,49.32100000000001,1,766,36.4,1,771903,14.3,32.18,1,825063900,1743246200,110284,231929,5791947.0,1
6,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-13,2 days 00:00:00.000000000,2,3889,49.712,1,769,36.2,1,802301,17.2,32.54,1,1097163581,2840409781,137631,369560,5791947.0,1
7,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-14,3 days 00:00:00.000000000,3,4111,50.64100000000001,1,811,35.7,1,850010,37.9,32.47,1,2604862268,5445272049,322022,691582,5791947.0,1
8,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-15,4 days 00:00:00.000000000,4,3985,50.842,1,810,36.2,1,828623,32.6,32.38,1,2147212100,7592484149,269925,961507,5791947.0,1
9,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-16,5 days 00:00:00.000000000,5,3727,50.0,1,751,36.5,1,778462,12.6,32.25,1,728943900,8321428049,97742,1059249,5791947.0,1
