,영화명,개봉일,점유율집계일,개봉n일차(int),상영횟수,스크린수,좌석수,좌석판매율,매출액,누적매출액,관객수,누적관객수,F-rated,장르,배급사,감독1성별,작가성별,배우성별,F등급
0,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-02,-9,4,4,869,100.0,6083000,6083000,869,869,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
1,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-03,-8,9,9,2025,100.0,18225000,24308000,2025,2894,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
2,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-04,-7,14,14,2972,97.4,23160000,47468000,2895,5789,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
3,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-05,-6,7,7,2425,99.5,16891000,64359000,2413,8202,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
4,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-11,0,3670,740,762037,14.9,853823300,918182300,113443,121645,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
5,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-12,1,3741,766,771903,14.3,825063900,1743246200,110284,231929,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
6,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-13,2,3889,769,802301,17.2,1097163581,2840409781,137631,369560,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
7,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-14,3,4111,811,850010,37.9,2604862268,5445272049,322022,691582,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
8,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-15,4,3985,810,828623,32.6,2147212100,7592484149,269925,961507,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
9,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-16,5,3727,751,778462,12.6,728943900,8321428049,97742,1059249,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
10,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-17,6,3812,746,793595,18.7,1120622200,9442050249,148087,1207336,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
11,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-18,7,4183,804,879892,33.7,2407918800,11849969049,296713,1504049,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
12,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-19,8,4184,825,880052,50.2,3644633700,15494602749,441844,1945893,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
13,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-20,9,4167,813,871153,57.1,3972232188,19466834937,497065,2442958,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
14,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-21,10,4136,817,859910,49.5,3383603091,22850438028,425279,2868237,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
15,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-22,11,3921,804,815260,34.8,2237192500,25087630528,283431,3151668,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
16,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-23,12,3477,706,713989,10.2,532721300,25620351828,72837,3224505,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
17,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-24,13,3441,720,704441,9.4,479962500,26100314328,66290,3290795,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
18,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-25,14,2883,666,582540,12.0,452136500,26552450828,70091,3360886,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
19,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-26,15,2128,472,411031,12.1,358879000,26911329828,49726,3410612,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
20,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-27,16,2192,479,423164,13.3,429177500,27340507328,56335,3466947,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
21,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-02-28,17,2228,502,426387,27.4,910341400,28250848728,116719,3583666,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
22,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-01,18,2132,503,407499,23.2,750487500,29001336228,94690,3678356,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
23,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-02,19,1908,447,350960,6.7,170882500,29172218728,23392,3701748,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
24,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-03,20,1902,444,352802,6.2,159864400,29332083128,21998,3723746,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
25,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-04,21,1865,432,343779,5.2,131698200,29463781328,17866,3741612,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
26,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-05,22,1097,356,160802,6.2,71966600,29535747928,9960,3751572,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
27,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-06,23,1149,362,167074,7.7,99762300,29635510228,12796,3764368,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
28,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-07,24,1150,397,164959,22.3,288680800,29924191028,36759,3801127,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
29,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-08,25,1091,389,157338,20.2,248475300,30172666328,31771,3832898,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
30,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-09,26,953,334,135587,5.4,53472400,30226138728,7289,3840187,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
31,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-10,27,960,332,136221,5.3,52439500,30278578228,7171,3847358,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
32,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-11,28,973,339,138012,5.8,56813100,30335391328,8062,3855420,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
33,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-12,29,211,141,27132,5.0,9510200,30344901528,1344,3856764,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
34,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-13,30,215,134,27561,6.0,12244500,30357146028,1639,3858403,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
35,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-14,31,208,146,26982,17.3,35589800,30392735828,4675,3863078,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
36,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-15,32,194,140,24614,16.8,31876800,30424612628,4131,3867209,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
37,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-16,33,176,123,23610,6.2,9710400,30434323028,1465,3868674,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
38,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-17,34,166,120,21606,4.5,6839400,30441162428,964,3869638,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
39,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-18,35,182,123,24171,5.1,8677000,30449839428,1222,3870860,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
40,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-19,36,9,6,1112,6.1,422000,30450261428,68,3870928,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
41,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-20,37,11,9,1621,7.4,710000,30450971428,120,3871048,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
42,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-21,38,9,6,946,23.0,1348000,30452319428,218,3871266,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
43,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-22,39,8,5,861,6.6,420000,30452739428,57,3871323,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
44,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-23,40,5,3,498,3.6,126000,30452865428,18,3871341,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
45,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015-03-24,41,9,6,1043,13.8,674000,30453539428,144,3871485,1,"사극,코미디,어드벤처",(주)쇼박스,남자,여자,남자,1
