순위,영화명,개봉일,상영횟수,상영점유율,매출액,누적매출액,관객수,누적관객수
1,국제시장,2014-12-17,4650,45.651%,6129982500,47219550096,751754,6097431
2,"님아, 그 강을 건너지 마오",2014-11-27,1979,19.429%,1479015600,31324845079,178941,4025319
3,기술자들,2014-12-24,1886,18.516%,1299883700,14952363848,160371,1938454
4,개를 훔치는 완벽한 방법,2014-12-31,650,6.381%,299346400,608002300,37741,80633
5,상의원,2014-12-24,491,4.82%,230484800,5524209364,28439,705071
6,더 테너 리리코 스핀토,2014-12-31,367,3.603%,69620500,200984700,8446,26316
7,뽀로로 극장판 눈요정 마을 대모험,,83,0.815%,27846600,1188395900,5561,237436
8,쿼바디스,2014-12-10,19,0.187%,4046900,117029800,509,15399
9,그 사람 그 사랑 그 세상,2014-11-20,14,0.137%,9467000,162552500,1202,22070
10,목숨,2014-12-04,10,0.098%,1399500,275635600,179,35844
11,"제자, 옥한흠",2014-10-30,5,0.049%,687000,356418200,87,48547
12,파티51,2014-12-11,4,0.039%,225000,13434800,34,1804
12,장군의 아들,1990-06-09,4,0.039%,416000,1446000,208,723
12,다이빙벨,2014-10-23,4,0.039%,627000,336231500,79,48571
12,카트,2014-11-13,4,0.039%,1720800,5914397433,198,812688
16,민우씨 오는 날,,3,0.029%,87000,3415500,17,695
17,빅매치,2014-11-27,2,0.02%,0,8952096578,0,1177438
17,두 번째 엄마,2014-12-31,2,0.02%,32000,552000,4,153
17,거인,2014-11-13,2,0.02%,156000,175489400,23,23176
20,앙상블,2014-12-18,1,0.01%,140000,6045500,16,778
20,GROW: 인피니트의 리얼 청춘 라이프,2014-12-04,1,0.01%,54000,189463200,9,23874
20,명기,2014-12-30,1,0.01%,9000,647000,1,242
20,한여름의 판타지아,2015-06-11,1,0.01%,374600,996100,48,148
20,숫호구,2014-08-07,1,0.01%,14000,16270000,2,2105
20,자유의 언덕,2014-09-04,1,0.01%,207000,309165827,23,38101
20,카토 프로젝트,2014-04-17,1,0.01%,2000,1886000,1,619
1,국제시장,2014-12-17,4568,45.621%,3782877729,51002427825,470690,6568121
2,"님아, 그 강을 건너지 마오",2014-11-27,1930,19.275%,809774300,32134619379,100585,4125904
3,기술자들,2014-12-24,1860,18.576%,758620771,15710984619,95119,2033573
4,개를 훔치는 완벽한 방법,2014-12-31,645,6.442%,177849329,785851629,23074,103707
5,상의원,2014-12-24,494,4.934%,149272900,5673482264,18455,723526
6,더 테너 리리코 스핀토,2014-12-31,369,3.685%,35432072,236416772,4538,30854
7,뽀로로 극장판 눈요정 마을 대모험,,69,0.689%,15771200,1204167100,3214,240650
8,쿼바디스,2014-12-10,21,0.21%,2486500,119516300,332,15731
9,그 사람 그 사랑 그 세상,2014-11-20,17,0.17%,9268000,171820500,1160,23230
10,목숨,2014-12-04,9,0.09%,589500,276225100,75,35919
11,"제자, 옥한흠",2014-10-30,5,0.05%,252000,356670200,29,48576
12,민우씨 오는 날,,4,0.04%,89000,3504500,18,713
12,장군의 아들,1990-06-09,4,0.04%,210000,1656000,105,828
12,카트,2014-11-13,4,0.04%,1556000,5915953433,176,812864
15,다이빙벨,2014-10-23,3,0.03%,353000,336584500,46,48617
15,파티51,2014-12-11,3,0.03%,152000,13586800,19,1823
17,앙상블,2014-12-18,2,0.02%,54000,6099500,8,786
18,자유의 언덕,2014-09-04,1,0.01%,117000,309282827,13,38114
18,카토 프로젝트,2014-04-17,1,0.01%,2000,1888000,1,620
18,해무(海霧),2014-08-13,1,0.01%,600000,11707382519,75,1475582
18,GROW: 인피니트의 리얼 청춘 라이프,2014-12-04,1,0.01%,126000,189589200,21,23895
18,춘하추동 로맨스,2014-12-04,1,0.01%,14000,7955800,2,1178
18,명기,2014-12-30,1,0.01%,9000,656000,1,243
1,국제시장,2014-12-17,5015,48.732%,5102642636,56105070461,632713,7200834
2,"님아, 그 강을 건너지 마오",2014-11-27,1928,18.735%,1055815200,33190434579,130560,4256464
3,기술자들,2014-12-24,1787,17.365%,928245964,16639230583,115526,2149099
4,개를 훔치는 완벽한 방법,2014-12-31,607,5.898%,214813036,1000664665,27647,131354
5,상의원,2014-12-24,451,4.382%,173005400,5846487664,21288,744814
6,더 테너 리리코 스핀토,2014-12-31,335,3.255%,45638669,282055441,5618,36472
7,뽀로로 극장판 눈요정 마을 대모험,,90,0.875%,21371300,1225538400,4332,244982
8,쿼바디스,2014-12-10,25,0.243%,4403200,123919500,595,16326
9,그 사람 그 사랑 그 세상,2014-11-20,12,0.117%,2730000,174550500,293,23523
10,목숨,2014-12-04,11,0.107%,912000,277137100,126,36045
11,다이빙벨,2014-10-23,6,0.058%,494000,337078500,66,48683
12,파티51,2014-12-11,4,0.039%,136000,13722800,18,1841
12,카트,2014-11-13,4,0.039%,1530000,5917483433,175,813039
12,장군의 아들,1990-06-09,4,0.039%,249000,1905000,124,952
15,"제자, 옥한흠",2014-10-30,3,0.029%,360000,357030200,41,48617
16,민우씨 오는 날,,2,0.019%,59000,3563500,12,725
17,숫호구,2014-08-07,1,0.01%,7000,16277000,1,2106
17,GROW: 인피니트의 리얼 청춘 라이프,2014-12-04,1,0.01%,54000,189643200,9,23904
17,앙상블,2014-12-18,1,0.01%,156000,6255500,19,805
17,거인,2014-11-13,1,0.01%,70000,175559400,10,23186
17,카토 프로젝트,2014-04-17,1,0.01%,2000,1890000,1,621
17,자유의 언덕,2014-09-04,1,0.01%,66000,309348827,11,38125
17,명기,2014-12-30,1,0.01%,9000,665000,1,244
1,국제시장,2014-12-17,4871,49.043%,4437089200,60542159661,552069,7752903
2,"님아, 그 강을 건너지 마오",2014-11-27,1863,18.758%,891550100,34081984679,110585,4367049
3,기술자들,2014-12-24,1742,17.539%,806773600,17446004183,100324,2249423
4,개를 훔치는 완벽한 방법,2014-12-31,581,5.85%,191687300,1192351965,24456,155810
5,상의원,2014-12-24,433,4.36%,140057400,5986545064,17039,761853
6,더 테너 리리코 스핀토,2014-12-31,283,2.849%,29095000,311150441,3539,40011
7,뽀로로 극장판 눈요정 마을 대모험,,88,0.886%,18170300,1243708700,3677,248659
8,쿼바디스,2014-12-10,21,0.211%,2495500,126415000,331,16657
9,그 사람 그 사랑 그 세상,2014-11-20,14,0.141%,8131000,182681500,890,24413
10,목숨,2014-12-04,9,0.091%,978000,278115100,124,36169
11,다이빙벨,2014-10-23,7,0.07%,810000,337888500,113,48796
12,카트,2014-11-13,4,0.04%,1545000,5919028433,174,813213
12,파티51,2014-12-11,4,0.04%,225000,13947800,29,1870
14,"제자, 옥한흠",2014-10-30,3,0.03%,158000,357188200,19,48636
15,민우씨 오는 날,,2,0.02%,45000,3608500,9,734
15,두 번째 엄마,2014-12-31,2,0.02%,32000,584000,4,157
17,자유의 언덕,2014-09-04,1,0.01%,78000,309426827,13,38138
17,앙상블,2014-12-18,1,0.01%,228000,6483500,25,830
17,카토 프로젝트,2014-04-17,1,0.01%,2000,1892000,1,622
17,명기,2014-12-30,1,0.01%,9000,674000,1,245
17,GROW: 인피니트의 리얼 청춘 라이프,2014-12-04,1,0.01%,131000,189774200,22,23926
1,국제시장,2014-12-17,4384,46.609%,1558134100,62100293761,210765,7963668
2,"님아, 그 강을 건너지 마오",2014-11-27,1787,18.999%,298394000,34380378679,40645,4407694
3,기술자들,2014-12-24,1744,18.541%,316204600,17762208783,43399,2292822
4,개를 훔치는 완벽한 방법,2014-12-31,606,6.443%,79415400,1271767365,10820,166630
5,상의원,2014-12-24,467,4.965%,62025400,6048570464,8177,770030
6,더 테너 리리코 스핀토,2014-12-31,302,3.211%,15928300,327078741,2124,42135
7,뽀로로 극장판 눈요정 마을 대모험,,48,0.51%,3258100,1246966800,646,249305
8,쿼바디스,2014-12-10,16,0.17%,1740500,128155500,228,16885
9,목숨,2014-12-04,8,0.085%,298500,278413600,41,36210
10,다이빙벨,2014-10-23,7,0.074%,239000,338127500,30,48826
10,그 사람 그 사랑 그 세상,2014-11-20,7,0.074%,88000,182769500,17,24430
12,카트,2014-11-13,5,0.053%,1652000,5920680433,204,813417
13,워킹걸,2015-01-07,4,0.043%,4848000,22924000,606,2975
13,"제자, 옥한흠",2014-10-30,4,0.043%,157000,357345200,21,48657
15,파티51,2014-12-11,3,0.032%,104000,14051800,13,1883
15,순천,2014-09-04,3,0.032%,6000,22756200,3,3572
17,거인,2014-11-13,2,0.021%,78000,175637400,12,23198
18,앙상블,2014-12-18,1,0.011%,18000,6501500,3,833
18,2015 우수 단편영화 상영 01,,1,0.011%,0,0,0,0
18,못,2014-11-20,1,0.011%,43000,16718600,7,2336
18,자유의 언덕,2014-09-04,1,0.011%,150000,309576827,19,38157
18,민우씨 오는 날,,1,0.011%,50000,3658500,10,744
18,명기,2014-12-30,1,0.011%,8000,682000,1,246
18,"1789, 바스티유의 연인들",2014-09-18,1,0.011%,142000,68230500,8,4021
18,악사들,2014-12-04,1,0.011%,29000,7594200,5,1351
18,카토 프로젝트,2014-04-17,1,0.011%,2000,1894000,1,623
1,국제시장,2014-12-17,4368,46.419%,1550265000,63650558761,210222,8173890
2,"님아, 그 강을 건너지 마오",2014-11-27,1809,19.224%,298868700,34679247379,41099,4448793
3,기술자들,2014-12-24,1716,18.236%,315867700,18078076483,43639,2336461
4,개를 훔치는 완벽한 방법,2014-12-31,599,6.366%,90401600,1362168965,12506,179136
5,상의원,2014-12-24,464,4.931%,65089100,6113659564,8689,778719
6,더 테너 리리코 스핀토,2014-12-31,309,3.284%,21177900,348256641,2783,44918
7,뽀로로 극장판 눈요정 마을 대모험,,57,0.606%,3687600,1250654400,763,250068
8,쿼바디스,2014-12-10,20,0.213%,1485400,129640900,210,17095
9,다이빙벨,2014-10-23,11,0.117%,1037000,339164500,164,48990
10,목숨,2014-12-04,9,0.096%,528000,278941600,72,36282
11,그 사람 그 사랑 그 세상,2014-11-20,6,0.064%,76000,182845500,15,24445
12,순천,2014-09-04,5,0.053%,10000,22766200,5,3577
12,"제자, 옥한흠",2014-10-30,5,0.053%,557000,357902200,71,48728
12,워킹걸,2015-01-07,5,0.053%,9901000,32825000,1247,4222
15,카트,2014-11-13,4,0.043%,1349000,5922029433,170,813587
15,고종황제와 의사 안중근,,4,0.043%,1631000,2673000,809,1328
17,파티51,2014-12-11,3,0.032%,75000,14126800,9,1892
18,거인,2014-11-13,2,0.021%,104000,175741400,15,23213
18,카토 프로젝트,2014-04-17,2,0.021%,4000,1898000,2,625
20,1월 단편 상상극장 – 맛있게 먹겠습니다,,1,0.011%,182000,182000,26,26
20,숫호구,2014-08-07,1,0.011%,7000,16284000,1,2107
20,민우씨 오는 날,,1,0.011%,30000,3688500,6,750
20,족구왕,2014-08-21,1,0.011%,25000,359361000,5,45654
20,못,2014-11-20,1,0.011%,47000,16765600,9,2345
20,허삼관,2015-01-14,1,0.011%,1926000,1926000,214,214
20,앙상블,2014-12-18,1,0.011%,183000,6684500,23,856
20,설해,2015-01-08,1,0.011%,1176000,10179000,196,1333
20,악사들,2014-12-04,1,0.011%,15000,7609200,3,1354
20,미라클 여행기,2015-01-15,1,0.011%,3164000,4019000,452,623
20,자유의 언덕,2014-09-04,1,0.011%,120000,309696827,15,38172
20,명기,2014-12-30,1,0.011%,8000,690000,1,247
1,국제시장,2014-12-17,4164,53.092%,1398815300,65049374061,188721,8362611
2,"님아, 그 강을 건너지 마오",2014-11-27,1351,17.226%,215772700,34895020079,29657,4478450
3,워킹걸,2015-01-07,964,12.291%,110945200,143770200,14281,18503
4,기술자들,2014-12-24,955,12.176%,183656500,18261732983,24046,2360507
5,개를 훔치는 완벽한 방법,2014-12-31,181,2.308%,31209900,1393378865,4262,183398
6,상의원,2014-12-24,80,1.02%,11700500,6125360064,1574,780293
7,뽀로로 극장판 눈요정 마을 대모험,,30,0.383%,1430500,1252084900,306,250374
8,더 테너 리리코 스핀토,2014-12-31,29,0.37%,7458000,355714641,991,45909
9,설해,2015-01-08,19,0.242%,4867000,15046000,698,2031
10,쿼바디스,2014-12-10,18,0.23%,1391000,131031900,190,17285
11,목숨,2014-12-04,10,0.128%,503000,279444600,68,36350
12,그 사람 그 사랑 그 세상,2014-11-20,9,0.115%,434000,183279500,66,24511
13,고양이 장례식,2015-01-15,5,0.064%,8158000,8158000,990,990
14,카트,2014-11-13,4,0.051%,2283000,5924312433,303,813890
14,순천,2014-09-04,4,0.051%,8000,22774200,4,3581
14,고종황제와 의사 안중근,,4,0.051%,1372000,4045000,686,2014
17,"제자, 옥한흠",2014-10-30,3,0.038%,124000,358026200,17,48745
17,파티51,2014-12-11,3,0.038%,119000,14245800,16,1908
19,민우씨 오는 날,,2,0.026%,105000,3793500,21,771
19,다이빙벨,2014-10-23,2,0.026%,944000,340108500,112,49102
21,자유의 언덕,2014-09-04,1,0.013%,96000,309792827,12,38184
21,악사들,2014-12-04,1,0.013%,28000,7637200,4,1358
21,춘하추동 로맨스,2014-12-04,1,0.013%,16000,7971800,2,1180
21,앙상블,2014-12-18,1,0.013%,18000,6702500,3,859
21,강남 1970,2015-01-21,1,0.013%,1904000,1904000,238,238
21,소리굽쇠,2014-10-30,1,0.013%,7000,24076800,1,3055
1,국제시장,2014-12-17,4188,53.487%,1413971800,66463345861,189554,8552165
2,"님아, 그 강을 건너지 마오",2014-11-27,1350,17.241%,206410100,35101430179,28207,4506657
3,기술자들,2014-12-24,950,12.133%,179262300,18440995283,23275,2383782
4,워킹걸,2015-01-07,935,11.941%,118878700,262648900,15289,33792
5,개를 훔치는 완벽한 방법,2014-12-31,158,2.018%,35331300,1428710165,4817,188215
6,상의원,2014-12-24,70,0.894%,11226300,6136586364,1500,781793
7,설해,2015-01-08,58,0.741%,2321000,17367000,314,2345
8,뽀로로 극장판 눈요정 마을 대모험,,31,0.396%,2228000,1254312900,473,250847
9,쿼바디스,2014-12-10,20,0.255%,1421000,132452900,223,17508
10,오늘의 연애,2015-01-14,17,0.217%,32176000,32176000,3729,3729
11,그 사람 그 사랑 그 세상,2014-11-20,8,0.102%,2941000,186220500,576,25087
12,목숨,2014-12-04,6,0.077%,531000,279975600,67,36417
13,더 테너 리리코 스핀토,2014-12-31,5,0.064%,1426800,357141441,211,46120
14,고종황제와 의사 안중근,,4,0.051%,1030000,5075000,515,2529
14,리칭의 여선생,1972-07-06,4,0.051%,288000,5018000,144,2494
16,"제자, 옥한흠",2014-10-30,3,0.038%,182000,358208200,23,48768
17,다이빙벨,2014-10-23,2,0.026%,71000,340179500,11,49113
17,고양이 장례식,2015-01-15,2,0.026%,1821600,9979600,255,1245
17,파티51,2014-12-11,2,0.026%,29000,14274800,6,1914
17,자유의 언덕,2014-09-04,2,0.026%,78000,309870827,10,38194
17,카토 프로젝트,2014-04-17,2,0.026%,4000,1902000,2,627
17,순천,2014-09-04,2,0.026%,4000,22778200,2,3583
23,"안녕, 투이",2014-11-27,1,0.013%,8000,7920300,1,1165
23,못,2014-11-20,1,0.013%,112000,16877600,14,2359
23,앙상블,2014-12-18,1,0.013%,60000,6762500,11,870
23,숫호구,2014-08-07,1,0.013%,42000,16326000,6,2113
23,춘하추동 로맨스,2014-12-04,1,0.013%,7000,7978800,1,1181
23,경주,2014-06-12,1,0.013%,63000,473350500,8,63489
23,카트,2014-11-13,1,0.013%,215000,5924527433,32,813922
23,바리새인,2014-09-25,1,0.013%,100000,9008000,10,1575
23,두 번째 엄마,2014-12-31,1,0.013%,14000,598000,2,159
23,거인,2014-11-13,1,0.013%,14000,175755400,2,23215
23,한공주,2014-04-17,1,0.013%,46000,1786772300,6,225241
1,국제시장,2014-12-17,4375,53.946%,1663760900,68127106761,209260,8761425
2,"님아, 그 강을 건너지 마오",2014-11-27,1378,16.991%,218280200,35319710379,27841,4534498
3,기술자들,2014-12-24,988,12.182%,207787900,18648783183,25600,2409382
4,워킹걸,2015-01-07,943,11.628%,147902786,410551686,17813,51605
5,개를 훔치는 완벽한 방법,2014-12-31,178,2.195%,37820600,1466530765,4975,193190
6,상의원,2014-12-24,71,0.875%,12537600,6149123964,1598,783391
7,설해,2015-01-08,50,0.617%,2181000,19548000,290,2635
8,뽀로로 극장판 눈요정 마을 대모험,,31,0.382%,3196000,1257508900,661,251508
9,쿼바디스,2014-12-10,18,0.222%,1348000,133800900,204,17712
10,더 테너 리리코 스핀토,2014-12-31,12,0.148%,2068800,359210241,251,46371
11,목숨,2014-12-04,10,0.123%,474000,280449600,62,36479
12,허삼관,2015-01-14,9,0.111%,15840000,17766000,1860,2074
13,오늘의 연애,2015-01-14,8,0.099%,17104000,49280000,1956,5685
14,그 사람 그 사랑 그 세상,2014-11-20,5,0.062%,56000,186276500,13,25100
15,순천,2014-09-04,4,0.049%,8000,22786200,4,3587
15,리칭의 여선생,1972-07-06,4,0.049%,240000,5258000,120,2614
17,파티51,2014-12-11,3,0.037%,136000,14410800,19,1933
17,"제자, 옥한흠",2014-10-30,3,0.037%,182000,358390200,26,48794
17,다이빙벨,2014-10-23,3,0.037%,124000,340303500,19,49132
17,미워도 다시 한번,1968-07-16,3,0.037%,208000,11478000,104,5683
21,자유의 언덕,2014-09-04,2,0.025%,261000,310131827,29,38223
21,두 번째 엄마,2014-12-31,2,0.025%,370000,968000,74,233
21,춘하추동 로맨스,2014-12-04,2,0.025%,22000,8000800,3,1184
24,도희야,2014-05-22,1,0.012%,54000,831155100,6,106538
24,카토 프로젝트,2014-04-17,1,0.012%,2000,1904000,1,628
24,악사들,2014-12-04,1,0.012%,21000,7658200,3,1361
24,미라클 여행기,2015-01-15,1,0.012%,576000,4595000,144,767
24,족구왕,2014-08-21,1,0.012%,32000,359393000,4,45658
