filmoNames,movieNm,peopleCd,peopleNm,repRoleNm
"엑시트|사바하|군함도|군함도 감독판|베테랑|베를린|평양성|부당거래|해결사|다찌마와리|감독들, 김기영을 말하다|짝패|주먹이 운다(Crying Fist)|아라한 장풍대작전|오아시스|피도 눈물도 없이|죽거나 혹은 나쁘거나|타임리스|남자니까 아시잖아요?|다찌마와리|현대인|패싸움|4월 단편 상상극장-박정민 헤는 밤|신촌좀비만화|제14회 미쟝센 단편 영화제 류승완 단편 특별전2|다섯 개의 시선|유령",베테랑,10019069,류승완,감독
도청(가제)|암살|도둑들|가위|난시청지역,암살,20128927,이기철,시나리오(각본)
"도청(가제)|암살|도둑들|전우치|중천|타짜|소년, 천국에 가다|그때 그 사람들|범죄의 재구성|눈물|간결한 여행|스미스씨 브라질에 가다",암살,10072187,최동훈,감독
남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,내부자들,20111283,우민호,감독
"사바하|시간위의 집|검은 사제들|광해, 왕이 된 남자|특수본|바다|12번째 보조사제|버스|인도에서 온 말리|오오단편극장 - 이학주 배우전|어둑시니: 두려움을 먹는 자|제14회 미쟝센 단편영화제 전년도 수상작1|1월 단편 상상극장-해피 뉴 스타|제13회 미쟝센 단편영화제 심야의 절대구타 360|제13회 미쟝센 단편영화제 절대악몽1",검은 사제들,10060462,장재현,감독
"나랏말싸미|그날의 분위기|사도|평양성|페스티발|부당거래|구르믈 버서난 달처럼|불신지옥|아내가 결혼했다|님은 먼 곳에|즐거운 인생|날아라 허동구|달마야, 서울 가자|황산벌|달마야 놀자|아나키스트|간첩 리철진",사도,10067370,조철현,제작
"나랏말싸미|소녀의 세계|썬키스 패밀리|꾼|사도|미스체인지|평양성|부당거래|구르믈 버서난 달처럼|님은 먼 곳에|날아라 허동구|달마야, 서울 가자|황산벌|달마야 놀자|공포택시|아나키스트",사도,20111297,오승현,제작
나랏말싸미|사도,사도,20188854,이송원,시나리오(각본)
"드림(가제)|극한직업|레슬러|바람 바람 바람|스물|오늘의 연애|타짜-신의 손|힘내세요, 병헌씨|네버엔딩 스토리|써니|과속스캔들|냄새는 난다",스물,20125862,이병헌,감독
히말라야|스파이,히말라야,20185670,수오,시나리오(각본)
히말라야|스파이,히말라야,20169283,민지은,각색
출국|조선명탐정 : 사라진 놉의 딸|누구에게나 찬란한|모던보이|올드미스다이어리,조선명탐정 : 사라진 놉의 딸,20160659,김수진,시나리오(각본)
조선명탐정: 흡혈괴마의 비밀|조선명탐정 : 사라진 놉의 딸|조선명탐정 : 각시투구꽃의 비밀,조선명탐정 : 사라진 놉의 딸,20111761,이남규,시나리오(각본)
극비수사,극비수사,20222516,한대덕,시나리오(각본)
장사리 : 잊혀진 영웅들|암수살인|희생부활자|극비수사|친구 2|미운오리새끼|통증|굿바이 보이|킹콩을 들다|눈에는 눈 이에는 이|사랑|태풍|똥개|챔피언|친구|닥터 K|억수탕(3pm Paradise)|기억을 만나다,극비수사,10001931,곽경택,감독
악의 연대기|튜브|쉬리,악의 연대기,10030346,백운학,감독
탐정 : 더 비기닝|쩨쩨한 로맨스,탐정 : 더 비기닝,20110688,황혜순,시나리오(각본)
탐정 : 더 비기닝|쩨쩨한 로맨스|어깨동무 ,탐정 : 더 비기닝,10005643,김정훈,감독
"더 폰|시체가 돌아왔다|황해|거북이 달린다|신기전|B형 남자친구|할머니, 나이스 샷!!",더 폰,20128476,김봉주,감독
"파이프라인|강남 1970|강남1970(무삭제판)|하울링|쌍화점|비열한 거리|말죽거리 잔혹사|결혼은, 미친짓이다|바람부는 날이면 압구정동에 가야 한다",강남 1970,20111250,유하,감독
조작된 도시|시간이탈자|장수상회|돈 크라이 마미,장수상회,20070071,이상현,시나리오(각본)
뷰티 인사이드|채식주의자|국가대표|미녀는 괴로워|사랑 따윈 필요 없어,뷰티 인사이드,10004533,김선정,각색
"다시, 벚꽃|뷰티 인사이드|북극의 눈물",뷰티 인사이드,20139881,노경희,시나리오(각본)
뷰티 인사이드|마마|언니가 간다,뷰티 인사이드,20134490,박정예,시나리오(각본)
아이 캔 스피크|쎄시봉|열한시|잉투기|시라노; 연애조작단|스카우트|광식이 동생 광태|YMCA야구단|공동경비구역 JSA|섬|해가 서쪽에서 뜬다면|사랑하기 좋은 날,쎄시봉,10006261,김현석,감독
오늘의 연애|공범|내 사랑 내 곁에|그놈 목소리|너는 내 운명|죽어도 좋아|신비한 영어나라|여섯 개의 시선,오늘의 연애,10029363,박진표,감독
"드림(가제)|극한직업|레슬러|바람 바람 바람|스물|오늘의 연애|타짜-신의 손|힘내세요, 병헌씨|네버엔딩 스토리|써니|과속스캔들|냄새는 난다",오늘의 연애,20125862,이병헌,감독
뺑반|차이나타운|사이코메트리|시나리오 가이드,차이나타운,20183664,한준희,감독
"당신, 거기 있어줄래요|간신",간신,20192846,이윤성,시나리오(각본)
"허스토리|당신, 거기 있어줄래요|간신|내 아내의 모든 것|세상에서 가장 아름다운 이별|김종욱 찾기|끝과 시작|키친|서양 골동 양과자점 앤티크|열세살 수아|내 생애 가장 아름다운 일주일|이공|여고괴담 두번째 이야기|비밀과 거짓말 |창백한푸른점 |열일곱|허스토리|무서운 이야기 3 : 화성에서 온 소녀|제15회 미쟝센 단편영화제 김태용 단편 특별전 1|무서운 이야기 2|무서운 이야기|무서운 이야기2'444'",간신,10027774,민규동,감독
낙원의 밤|마녀|브이아이피|대호|신세계|혈투|부당거래|악마를 보았다,대호,10029578,박훈정,감독
그놈이다|베스트셀러|언니가 간다|야수와 미녀|주먹이 운다(Crying Fist)|목두기 비디오|릴레이,그놈이다,10054518,윤준형,감독
그놈이다|잔혹한 출근|목두기 비디오|기억의 재구성|클럽몽|지구나 지켜라|릴레이|잠수왕 무하마드,그놈이다,10004932,김영갑,시나리오(각본)
성난 변호사|용의자X|고死 두 번째 이야기: 교생실습|구미호 가족,성난 변호사,10054820,이공주,시나리오(각본)
성난 변호사|끝까지 간다|미확인 동영상 : 절대클릭금지|김복남 살인사건의 전말|의형제,성난 변호사,20111696,최관영,시나리오(각본)
나쁜 녀석들: 더 무비|살인의뢰|사랑 따윈 필요 없어,살인의뢰,20188569,손용호,감독
"열두 번째 용의자|시인의 사랑|1급기밀|원라인|살인의뢰|몽타주|깔깔깔 희망버스|파파|오싹한 연애|에일리언 밴드|여교수의 은밀한 매력|DMZ, 비무장지대|인형사|거울속으로",살인의뢰,10043582,안영진,프로듀서
"특종: 량첸살인기|연애의 온도|지구를 지켜라|마스크 속, 은밀한 자부심",특종: 량첸살인기,10015745,노덕,감독
