영화명,영화코드,개봉일,대표국적,국적,장르,등급,영화형태,영화구분,제작사,배급사,상영횟수,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,F-rated,감독,대표감독,감독코드,감독성별,감독_대표역할,감독필모,작가,대표작가,대표작가(필명),작가코드,작가성별,작가_대표역할,작가필모,배우,주연배우,배역명,배우코드,배우성별,배우_대표역할,배우필모
"협녀, 칼의 기억",20130021,2015-08-13,한국,한국,"사극,액션",15세이상관람가,장편,일반영화,(주)티피에스컴퍼니,롯데컬처웍스(주)롯데엔터테인먼트,16099,572,3360045489.0,431310,999537689,123013,0,박흥식,박흥식,20110989,남자,감독,"해어화|협녀, 칼의 기억|천국의 아이들|사랑해, 말순씨|인어 공주|나도 아내가 있었으면 좋겠다|내 동생|2015 GSFF 배우 특별전: 김수안 |미안해, 고마워","박흥식, 최아름",박흥식,박흥식,20110989,남자,감독,"해어화|협녀, 칼의 기억|천국의 아이들|사랑해, 말순씨|인어 공주|나도 아내가 있었으면 좋겠다|내 동생|2015 GSFF 배우 특별전: 김수안 |미안해, 고마워","이병헌,전도연,김고은,이경영,김태우,이준호,배수빈,문성근,박슬기,장윤성,장은태,강풍,박지훈,고지영,손재영,김수안,김학선,성유빈,이성우",이병헌,강타,10055626,남자,배우,"비상선언|백두산|남산의 부장들|그것만이 내 세상|남한산성|싱글라이더|마스터|매그니피센트 7|밀정|미스컨덕트|내부자들: 디 오리지널|내부자들|협녀, 칼의 기억|터미네이터 제니시스|레드: 더 레전드|지.아이.조 2|광해, 왕이 된 남자|인플루언스|악마를 보았다|악마를 보았다 감독판|아이리스 더 무비|지.아이.조 : 전쟁의 서막|나는 비와 함께 간다|좋은 놈, 나쁜 놈, 이상한 놈 |좋은 놈, 나쁜 놈, 이상한 놈(칸버전)|그해 여름|달콤한 인생|누구나 비밀은 있다|쓰리, 몬스터 '컷'|중독|마리이야기|번지점프를 하다|공동경비구역 JSA|내 마음의 풍금|지상만가|그들만의 세상|아마게돈|런어웨이|누가 나를 미치게 하는가|쉐어 더 비전|쓰리 몬스터"
"안녕, 전우치! 도술로봇대결전",20153801,2015-10-08,한국,한국,애니메이션,전체관람가,장편,독립/예술영화,"(주)얼리버드픽쳐스,(주)쏘울 크리에이티브",(주)리틀빅픽쳐스,1085,173,91427600.0,12943,20323600,2672,1,김대창,김대창,20214346,남자,감독,"을식이는 재수 없어|안녕, 전우치! 도술로봇대결전|안녕, 전우치 스페셜","김대창, 최인희, 권오현, 신현덕",김대창,김대창,20214346,남자,감독,"을식이는 재수 없어|안녕, 전우치! 도술로봇대결전|안녕, 전우치 스페셜","김율,김새해,정선혜",김율,전우치,10005311,여자,배우,"극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~|신비아파트: 금빛 도깨비와 비밀의 동굴|터닝메카드W: 반다인의 비밀 특별판|극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!|바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동|루돌프와 많이있어|바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전|안녕, 전우치! 도술로봇대결전|극장판 빰바라빤쮸: 바나나 왕국의 비밀"
"나의 아들, 나의 어머니",20133531,2015-12-17,한국,한국,다큐멘터리,전체관람가,장편,독립/예술영화,"창작집단917,민프로덕션",(주)인디플러그,430,24,27382300.0,3860,7922500,1055,1,안재민,안재민,20138626,남자,감독,"덫|왕초와 용가리|아빠가 돌아왔다|나의 아들, 나의 어머니|욕망의 독: 중독|시바, 인생을 던져|춤추는 숲|오래된 인력거",안재민,안재민,안재민,20138626,남자,감독,"덫|왕초와 용가리|아빠가 돌아왔다|나의 아들, 나의 어머니|욕망의 독: 중독|시바, 인생을 던져|춤추는 숲|오래된 인력거","권기선, 이준교",권기선,권기선(할머니),0,여자,배우,"나의 아들, 나의 어머니"
"로봇, 소리",20157466,2016-01-27,한국,한국,드라마,12세이상관람가,장편,일반영화,"(주)영화사 좋은날,(주)디씨지플러스",롯데컬처웍스(주)롯데엔터테인먼트,25502,609,3519595560.0,476665,951166060,126118,1,이호재,이호재,10058219,남자,감독,"로봇, 소리|작전|네번째 층 - 어느날 갑자기 두번째 이야기","이소영, 이호재",이소영,이소영,10056115,여자,시나리오(각본),"로봇, 소리|미확인 동영상 : 절대클릭금지|흑심모녀|아파트|여고괴담 세번째 이야기: 여우계단|화성으로 간 사나이","이성민,이희준,이하늬,김원해,채수빈,심은경,곽시양,이영진,이무생,남연우,전국환,류준열,박영수,이현석,박정민,박지훈,안광복,유민상,이상우,이승준,노소영,차순배",이성민,해관,20110148,남자,배우,"비스트|제8일의 밤|남산의 부장들|리멤버|미스터 주(가제)|마약왕|목격자|공작|바람 바람 바람|리얼|보안관|굿바이 싱글|검사외전|로봇, 소리|손님|빅매치|군도: 민란의 시대|방황하는 칼날|관능의 법칙|변호인|마이 리틀 히어로|베스트셀러|카페 느와르|비단구두|블랙&화이트"
"날, 보러와요",20152782,2016-04-07,한국,한국,"미스터리,스릴러",청소년관람불가,장편,일반영화,"영화사올(주),(주)발렌타인필름",메가박스중앙(주)플러스엠,49237,683,8821335063.0,1061412,2079948563,242864,1,이철하,이철하,10057717,남자,감독,"오케이! 마담|날, 보러와요|안녕?! 오케스트라|폐가|스토리 오브 와인|사랑 따윈 필요 없어",이철하,이철하,이철하,10057717,남자,감독,"오케이! 마담|날, 보러와요|안녕?! 오케스트라|폐가|스토리 오브 와인|사랑 따윈 필요 없어","강예원,이상윤,최진호,지대한,김종수,이학주,장태성,유건,길해연,조재윤,이형석,박송해,정경일,안용우,안지혜,안지혜,최낙영,이규호,이상백,이승진,김호원,황성준",강예원,광수,20066563,여자,배우,"나쁜 녀석들: 더 무비|왓칭|비정규직 특수요원|트릭|날, 보러와요|연애의 맛|내 연애의 기억|조선미녀삼총사|엘 꼰도르 빠사|점쟁이들|퀵|헬로우 고스트|하모니|1번가의 기적"
우리에게 떡볶이를 먹을 권리가 있다,20150845,2016-06-09,한국,한국,드라마,12세이상관람가,옴니버스,독립/예술영화,"국가인권위원회,(주) 루스이소니도스",(주)영화사 진진,418,28,14749200.0,1961,10536500,1314,1,"최익환,이광국",최익환,10072627,남자,제작,"roooom|창백한 얼굴들|화산고래|성실한 나라의 앨리스|소셜포비아|잉투기|마마|나는 곤경에 처했다!|그녀는 예뻤다|여고괴담 4 : 목소리|우리에게 떡볶이를 먹을 권리가 있다|아빠의 맛|유언 Live|하늘소리, 땅소리|트루 메모리|나는 왜 권투심판이 되려 하는가|플레이 체육왕 - 스포츠 단편모음|시선 사이|인디스데이 6월 단편|신촌좀비만화|황금시대",최익환,최익환,최익환,10072627,남자,제작,"roooom|창백한 얼굴들|화산고래|성실한 나라의 앨리스|소셜포비아|잉투기|마마|나는 곤경에 처했다!|그녀는 예뻤다|여고괴담 4 : 목소리|우리에게 떡볶이를 먹을 권리가 있다|아빠의 맛|유언 Live|하늘소리, 땅소리|트루 메모리|나는 왜 권투심판이 되려 하는가|플레이 체육왕 - 스포츠 단편모음|시선 사이|인디스데이 6월 단편|신촌좀비만화|황금시대","정예녹,김동완,오광록,박주희,서영화,윤영민,정지훈,최희서,백수장",박지수,지수,20248695,여자,배우,우리에게 떡볶이를 먹을 권리가 있다
소주와 아이스크림,20150844,2016-06-09,한국,한국,드라마,12세이상관람가,옴니버스,독립/예술영화,"국가인권위원회,(주) 루스이소니도스",(주)영화사 진진,418,28,14749200.0,1961,10536500,1314,1,이광국,이광국,10054828,남자,감독,호랑이보다 무서운 겨울손님|꿈보다 해몽|로맨스 조|하하하|잘 알지도 못하면서|해변의 여인|극장전|A+삶|소주와 아이스크림|말로는 힘들어|주민증 갱신기간|시선 사이|인디스데이 6월 단편|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|7월 단편 상상극장-김새벽의 판타지아|7월 단편 상상극장-이들이 우리의 배우다,이광국,이광국,이광국,10054828,남자,감독,호랑이보다 무서운 겨울손님|꿈보다 해몽|로맨스 조|하하하|잘 알지도 못하면서|해변의 여인|극장전|A+삶|소주와 아이스크림|말로는 힘들어|주민증 갱신기간|시선 사이|인디스데이 6월 단편|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|7월 단편 상상극장-김새벽의 판타지아|7월 단편 상상극장-이들이 우리의 배우다,"정예녹,김동완,오광록,박주희,서영화,윤영민,정지훈,최희서,백수장",박주희,-,20112298,여자,배우,상류사회|인랑|오목소녀|걷기왕|간신|치욕일기|경성학교: 사라진 소녀들|워킹걸|거인|미성년|마녀|우리 선희|누구의 딸도 아닌 해원|쉘터|만일의 세계|자전거 도둑|주(酒)는 마음|졸업여행|시선 사이|오오단편극장 - 이학주 배우전|서울연애|어떤 시선|여행
과대망상자들,20150843,2016-06-09,한국,한국,드라마,12세이상관람가,옴니버스,독립/예술영화,"국가인권위원회,(주) 루스이소니도스",(주)영화사 진진,418,28,14749200.0,1961,10536500,1314,0,신연식,신연식,10040499,남자,감독,"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자",신연식,신연식,신연식,10040499,남자,감독,"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자","정예녹,김동완,오광록,박주희,서영화,윤영민,정지훈,최희서,백수장",김동완,민,10003957,남자,배우,소리꾼|글로리데이|어떤이의 꿈|신화 라이브 3D 더 레전드 컨티뉴스|연가시|돌려차기|긴급조치 19호|과대망상자들|시선 사이
"시발, 놈: 인류의 시작",20152105,2016-08-18,한국,한국,"코미디,드라마",15세이상관람가,장편,일반영화,(주)엣나인필름,(주)엣나인필름,150,10,8802400.0,1159,6337000,794,0,백승기,백승기,20120681,남자,감독,"오늘도 평화로운|시발, 놈: 인류의 시작|숫호구",백승기,백승기,백승기,20120681,남자,감독,"오늘도 평화로운|시발, 놈: 인류의 시작|숫호구","손이용,김보리,백승기,이지규,장철민,박은수,홍서백,윤하리",손이용,텍진릭돌,20190039,남자,배우,"오늘도 평화로운|시발, 놈: 인류의 시작|숫호구"
"고산자, 대동여지도",20159648,2016-09-07,한국,한국,사극,전체관람가,장편,일반영화,(주)시네마서비스,씨제이이앤엠(주),38048,765,7777473258.0,971194,1911829638,230579,1,강우석,강우석,10000783,남자,감독,"고산자, 대동여지도|더 파이브|깡철이|전설의 주먹|로맨틱 헤븐|글러브|퀴즈왕|이끼|주유소 습격사건 2|용서는 없다|백야행|모던보이|신기전|강철중: 공공의 적 1-1|뜨거운 것이 좋아|싸움|궁녀|권순분여사 납치사건|지금 사랑하는 사람과 살고 있습니까?|황진이|아들|거룩한 계보|한반도|오로라 공주|공공의 적 2|혈의 누|귀신이 산다|달마야, 서울 가자|아라한 장풍대작전|바람의 전설|그녀를 믿지 마세요|실미도|천년호|거울속으로|나비|선생 김봉두|광복절 특사|밀애|재밌는 영화|공공의 적|피도 눈물도 없이|신라의 달밤|선물|불후의 명작|순애보|실락원|생과부 위자료 청구소송|올가미|투캅스 2|맥주가 애인보다 좋은 7가지 이유|손톱|마누라 죽이기|투캅스|미스터 맘마|스무살까지만 살고 싶어요|열아홉의 절망끝에 부르는 하나의 사랑노래|누가 용의 발톱을 보았는가|나는 날마다 일어선다|행복은 성적순이 아니잖아요|달콤한 신부들|춤추는 딸|주리",최정미,최정미,최정미,20209326,여자,시나리오(각본),"고산자, 대동여지도|따라지 : 비열한 거리|내 심장을 쏴라","김율호,차승원,유준상,김인권,남지현,신동미,남경읍,태인호,공형진,김종수,이형길,임경욱,박선용,상훈,박정호,박진영,백동현,송민석,송원종,양해길,양희정,전수정,전호근,정명수,정봉연,정진근,노경섭,윤성민,윤준호,이덕형,이문형,이성원,이수민,이승철,이윤상,지동주,지현준,최은식,최한기,한명철,홍광표,홍대영,노남석,정준용,김기정,오희준",김율호,금위군3,20278549,남자,배우,"고산자, 대동여지도|부산행|연평해전|은서"
