영화명,1623공급좌석수
0.0MHz,326004.0
1919 유관순,172696.0
1987,9333456.0
"1991, 봄",49892.0
1급기밀,581080.0
22,13253.0
4등,231483.0
5.18 힌츠페터 스토리,61095.0
7년-그들이 없는 언론,91250.0
7년의 밤,1687507.0
7호실,1319269.0
B급 며느리,81208.0
PMC: 더 벙커,3640066.0
가려진 시간,1859704.0
가을 우체국,37256.0
간신,2125667.0
강남 1970,3785349.0
강변호텔,67698.0
강철비,5048460.0
개: dog eat dog,6410.0
거미의 땅,9052.0
거짓말,31561.0
걷기왕,573560.0
걸캅스,3991925.0
검사외전,10542591.0
검은 사제들,8552511.0
검은손,149161.0
게이트,244491.0
경계,15200.0
경성학교: 사라진 소녀들,912397.0
계춘할망,857618.0
고녀석 맛나겠다2 : 함께라서 행복해,14477.0
고려 아리랑: 천산의 디바,32913.0
"고산자, 대동여지도",2153797.0
고양이 장례식,14861.0
고향이 어디세요,18414.0
곡성,8761795.0
곤지암,6809565.0
골든슬럼버,2615904.0
공동정범,81575.0
공범자들,502989.0
공작,6705898.0
공조,10213872.0
공포체험단 곤지암편,3116.0
광대들: 풍문조작단,1643281.0
광인옥한흠,8489.0
괴물들,34750.0
교회오빠,180302.0
구세주: 리턴즈,59961.0
국가대표 2,994431.0
국가부도의 날,7860058.0
국경의 왕,14784.0
군산: 거위를 노래하다,102424.0
군함도,6967251.0
굿바이 마이 러브NK: 붉은 청춘,20779.0
굿바이 싱글,3686212.0
굿바이 썸머,31382.0
궁합,3811596.0
귀신의 향기,5006.0
귀향,6556344.0
"귀향, 끝나지 않은 이야기",118567.0
그 후,97034.0
그것만이 내 세상,6817398.0
"그날, 바다",1743355.0
그날의 분위기,1662530.0
그놈이다,2492162.0
그대 이름은 장미,492673.0
그들이 죽었다,19018.0
그라운드의 이방인,43187.0
"그래, 가족",292728.0
그랜드파더,189348.0
그럼에도 불구하고,11315.0
그림자들의 섬,31507.0
그물,299460.0
극비수사,3971300.0
극장판 공룡메카드: 타이니소어의 섬,233590.0
극장판 꼬마버스 타요의 에이스 구출작전,65132.0
극장판 또봇: 로봇군단의 습격,42911.0
극장판 뽀잉: 슈퍼 변신의 비밀,21339.0
극장판 샤이닝스타:새로운 루나퀸의 탄생!,27193.0
극장판 안녕 자두야,113995.0
극장판 프랭키와 친구들: 생명의 나무,32481.0
극장판 프리즘스톤 올스타 셀렉션,11912.0
극장판 헬로카봇 : 백악기 시대,193736.0
극장판 헬로카봇: 옴파로스 섬의 비밀,184159.0
극적인 하룻밤,990208.0
극한직업,22523026.0
글로리데이,668499.0
기묘한 가족,860512.0
기방도령,865969.0
기생-꽃의 고백,6366.0
기생충,13706390.0
기억의 밤,3614599.0
기적의 피아노,38260.0
기화,1832.0
길,42726.0
김광석,267320.0
김군,87506.0
김복동,254226.0
꾸루꾸루와 친구들: 무지개 나무의 비밀,4829.0
꾼,9280266.0
꿈보다 해몽,40145.0
꿈의 제인,106669.0
나는 고양이로소이다,29615.0
나는 증인이다,4818.0
나랏말싸미,2906416.0
나를 기억해,1006574.0
나를 잊지 말아요,1101353.0
나부야 나부야,22499.0
나비잠,79953.0
나쁜 나라,78461.0
나와 봄날의 약속,39227.0
나의 살던 고향은,39462.0
"나의 아들, 나의 어머니",24501.0
나의 연기 워크샵,13718.0
나의 절친 악당들,427659.0
나의 특별한 형제,2745946.0
나홀로 휴가,95628.0
난폭한 기록,52122.0
"날, 보러와요",3040297.0
남과 여,487157.0
남자와 여자,2198.0
남한산성,4605287.0
내 심장을 쏴라,1142468.0
내 친구 정일우,79984.0
내가 사는 세상,31766.0
내게 남은 사랑을,74665.0
내부자들,11061259.0
내부자들: 디 오리지널,3103500.0
내안의 그놈,4366453.0
너의 결혼식,7371404.0
널 기다리며,2168286.0
넛잡 2,149273.0
노리개: 그녀의 눈물,28531.0
노무현과 바보들,240165.0
노무현입니다,3181395.0
노후 대책 없다,23317.0
누에치던 방,32391.0
눈길,423944.0
눈꺼풀,17958.0
눈발,43139.0
눈이라도 내렸으면,4243.0
늙은 자전거,20882.0
늦여름,10420.0
다른 길이 있다,21667.0
다시 태어나도 우리,104514.0
"다시, 벚꽃",65408.0
"다시, 봄",344972.0
다영씨,17719.0
다이노 타임,75815.0
다이노X 탐험대,43321.0
다이빙벨 그후,24354.0
달빛궁궐,88746.0
달에 부는 바람,10831.0
"당신, 거기 있어줄래요",2494725.0
당신의 부탁,306128.0
당신자신과 당신의 것,116595.0
대결,289352.0
대관람차,38820.0
대립군,1713466.0
대배우,1027482.0
대장 김창수,1289834.0
대호,2424968.0
더 블랙,17129.0
더 킹,7604191.0
더 테이블,245263.0
더 폰,3565244.0
더 플랜,147831.0
덕구,905392.0
덕혜옹주,6363339.0
덫: 치명적인 유혹,1030.0
데자뷰,538741.0
델타 보이즈,30876.0
도리화가,1117608.0
도어락,3834474.0
독도의 영웅들,1558.0
독전,9950965.0
독전: 익스텐디드 컷,339714.0
돈,9190893.0
돌아온다,64004.0
돌연변이,303350.0
동네사람들,1325577.0
동주,2103170.0
돼지 같은 여자,46444.0
두 개의 연애,10607.0
두 남자,320965.0
두 번째 스물,77562.0
드롭박스,19105.0
들꽃,13944.0
딜쿠샤,10612.0
땐뽀걸즈,28627.0
뚜르: 내 생애 최고의 49일,129236.0
라라,14810.0
러브 유어셀프 인 서울,325931.0
럭키,10240116.0
런닝맨 : 풀룰루의 역습,71738.0
레나,18808.0
레드 툼,16409.0
레드슈즈,338944.0
레슬러,2800976.0
레이디버그,27200.0
려행,25393.0
련희와 연희,8709.0
로드킬,2302.0
로마서 8:37,30674.0
로마의 휴일,536844.0
로망,268770.0
