영화명,총공급좌석수
1급기밀,515783.0
7년의 밤,1530650.0
7호실,1175176.0
PMC: 더 벙커,3255788.0
가려진 시간,1667146.0
간신,1851077.0
강남 1970,3392538.0
강철비,4524956.0
걷기왕,519467.0
걸캅스,3583305.0
경성학교: 사라진 소녀들,809102.0
계춘할망,750955.0
골든슬럼버,2365860.0
공범자들,455165.0
광대들: 풍문조작단,1461498.0
국가대표 2,900075.0
굿바이 싱글,3298829.0
궁합,3384867.0
그날의 분위기,1500495.0
그놈이다,2239565.0
그대 이름은 장미,444470.0
극비수사,3560048.0
극적인 하룻밤,908816.0
글로리데이,608364.0
기묘한 가족,782177.0
기방도령,785330.0
기억의 밤,3243175.0
나랏말싸미,2607893.0
나를 기억해,900121.0
나를 잊지 말아요,1000128.0
나의 절친 악당들,382618.0
나의 특별한 형제,2453806.0
남과 여,438218.0
남한산성,4121736.0
내 심장을 쏴라,1036377.0
내부자들: 디 오리지널,2743153.0
내안의 그놈,3902161.0
널 기다리며,1930525.0
노무현입니다,2857975.0
눈길,389777.0
대립군,1523813.0
대배우,918096.0
대장 김창수,1146562.0
대호,2174067.0
더 폰,3213857.0
덕구,811417.0
데자뷰,484558.0
도리화가,1008520.0
도어락,3438792.0
동네사람들,1184090.0
동주,1858423.0
레슬러,2504609.0
로마의 휴일,477028.0
롱 리브 더 킹: 목포 영웅,2244376.0
루시드 드림,425169.0
리얼,1320270.0
리틀 포레스트,4009521.0
마약왕,2724257.0
머니백,345298.0
명당,3295889.0
목격자,4458958.0
무뢰한,1180312.0
물괴,3243401.0
미성년,1636697.0
미쓰 와이프,1175746.0
미쓰백,2028446.0
미씽: 사라진 여자,2119003.0
미옥,1038733.0
바람 바람 바람,3625068.0
박열,4263225.0
반드시 잡는다,1285519.0
배반의 장미,338004.0
배심원들,1159717.0
버닝,1262070.0
번 더 스테이지: 더 무비,404749.0
변산,1262167.0
변신,4036795.0
보안관,3705995.0
보통사람,927919.0
봉이 김선달,3023575.0
부라더,3251227.0
불한당: 나쁜 놈들의 세상,2350381.0
뷰티 인사이드,2760863.0
브링 더 소울 : 더 무비,528894.0
브이아이피,2743881.0
비밀은 없다,705949.0
비스트,602183.0
비정규직 특수요원,482984.0
뺑반,2513306.0
뽀로로 극장판 공룡섬 대모험,332106.0
사냥,1677513.0
사라진 밤,3687487.0
사랑하기 때문에,742332.0
사자,2805672.0
살인의뢰,2044635.0
상류사회,2519231.0
생일,4756622.0
서부전선,789973.0
서울역,337631.0
석조저택 살인사건,808640.0
성난 변호사,1830590.0
성난황소,2851138.0
소셜포비아,746561.0
소수의견,691721.0
속닥속닥,497996.0
손님,1133949.0
순수의 시대,1487315.0
순정,533161.0
스윙키즈,2292646.0
스플릿,1691908.0
시간위의 집,543566.0
시간이탈자,3590481.0
싱글라이더,877067.0
쎄시봉,3056184.0
아빠는 딸,1643192.0
아수라,4278887.0
악녀,2336903.0
악의 연대기,3482365.0
악질경찰,1218956.0
어느날,900462.0
어린 의뢰인,925513.0
언니,552311.0
여중생A,601772.0
연애의 맛,542489.0
열정같은소리하고있네,1558951.0
염력,3323782.0
오늘의 연애,2632602.0
오빠생각,2753486.0
오피스,861448.0
왓칭,582083.0
우상,1001304.0
워킹걸,321886.0
원더풀 고스트,839234.0
원라인,1001638.0
위대한 소원,1401377.0
위험한 상견례 2,787458.0
유열의 음악앨범,4212330.0
은밀한 유혹,745356.0
인랑,1366045.0
임금님의 사건수첩,2951179.0
자전차왕 엄복동,612818.0
장산범,1728001.0
장수상회,2849631.0
재심,4247871.0
조선마술사,886199.0
조선명탐정: 흡혈괴마의 비밀,4819489.0
조작된 도시,3949007.0
좋아해줘,1360929.0
진범,380133.0
차이나타운,2212303.0
창궐,4060860.0
채비,351978.0
챔피언,2390374.0
치외법권,710348.0
치즈인더트랩,1056979.0
침묵,1171299.0
크게 될 놈,448195.0
탐정 : 더 비기닝,2829548.0
탐정 홍길동: 사라진 마을,1916053.0
특별수사: 사형수의 편지,2131632.0
특별시민,2908700.0
특종: 량첸살인기,1813689.0
하루,2524479.0
함정,458593.0
항거:유관순 이야기,2661176.0
해빙,2848290.0
해어화,1747703.0
허삼관,1453165.0
허스토리,1008576.0
헬머니,1135853.0
협상,3038823.0
형,4961984.0
혼숨,718710.0
화장,570368.0
흥부: 글로 세상을 바꾼 자,862457.0
희생부활자,1313338.0
