영화코드,영화명,개봉일,점유율집계일,개봉n일차,개봉n일차(int),상영횟수,상영점유율,상영점유율순위,스크린수,스크린점유율,스크린점유율순위,좌석수,좌석판매율,좌석점유율,좌석점유율순위,매출액,누적매출액,관객수,누적관객수
20181103,벌새,2019-08-29,2019-08-29,0 days 00:00:00.000000000,0,262,2.115,6,145,3.7,6,31925,11.9,1.07,6,29667590,54942090,3790,6723
20181103,벌새,2019-08-29,2019-08-30,1 days 00:00:00.000000000,1,260,2.0,6,140,3.4,6,30994,11.4,1.02,6,29865556,84807646,3529,10252
20181103,벌새,2019-08-29,2019-08-31,2 days 00:00:00.000000000,2,238,1.6980000000000002,6,130,3.0,6,27608,19.9,0.87,6,48441190,133248836,5500,15752
20181103,벌새,2019-08-29,2019-09-01,3 days 00:00:00.000000000,3,239,1.755,6,133,3.1,6,26967,19.3,0.87,6,45325880,178574716,5190,20942
20181103,벌새,2019-08-29,2019-09-02,4 days 00:00:00.000000000,4,249,1.987,6,128,3.3,6,28479,9.9,1.0,6,22319250,200893966,2823,23765
20181103,벌새,2019-08-29,2019-09-03,5 days 00:00:00.000000000,5,253,2.011,6,135,3.3,6,29168,9.9,1.02,6,22582040,223476006,2896,26661
20181103,벌새,2019-08-29,2019-09-04,6 days 00:00:00.000000000,6,182,1.676,7,103,2.7,7,21278,13.3,0.77,7,22284260,245760266,2820,29481
20181103,벌새,2019-08-29,2019-09-05,7 days 00:00:00.000000000,7,147,1.394,7,86,2.2,7,16530,13.6,0.6,7,17792400,263552666,2255,31736
20181103,벌새,2019-08-29,2019-09-06,8 days 00:00:00.000000000,8,162,1.474,7,89,2.2,7,18068,16.8,0.64,7,26096455,289649121,3043,34779
20181103,벌새,2019-08-29,2019-09-07,9 days 00:00:00.000000000,9,172,1.371,7,90,2.1,7,19477,20.5,0.64,7,34698731,324347852,3985,38764
20181103,벌새,2019-08-29,2019-09-08,10 days 00:00:00.000000000,10,166,1.338,7,91,2.1,8,19651,31.1,0.65,7,53216940,377564792,6103,44867
20181103,벌새,2019-08-29,2019-09-09,11 days 00:00:00.000000000,11,187,1.815,7,84,2.2,7,19713,13.9,0.75,7,22087130,399651922,2748,47615
