영화코드,영화명,개봉일,점유율집계일,개봉n일차,개봉n일차(int),상영횟수,상영점유율,상영점유율순위,스크린수,스크린점유율,스크린점유율순위,좌석수,좌석판매율,좌석점유율,좌석점유율순위,매출액,누적매출액,관객수,누적관객수
20148048,베테랑,2015-08-05,2015-08-05,0 days 00:00:00.000000000,0,5096,58.852,1,957,51.1,1,916883,45.2,34.82,1,3129197200,3332719600,414219,439640
20148048,베테랑,2015-08-05,2015-08-06,1 days 00:00:00.000000000,1,5009,58.475,1,942,51.9,1,905532,44.7,34.3,1,3062333800,6395053400,404907,844547
20148048,베테랑,2015-08-05,2015-08-07,2 days 00:00:00.000000000,2,5100,57.849,1,984,51.3,1,921369,51.9,34.38,1,3822836218,10217889618,477754,1322301
20148048,베테랑,2015-08-05,2015-08-08,3 days 00:00:00.000000000,3,5332,58.02,1,1034,52.0,1,964650,74.2,35.27,1,5744084405,15961974023,715334,2037635
20148048,베테랑,2015-08-05,2015-08-09,4 days 00:00:00.000000000,4,5349,58.838,1,1064,53.6,1,971012,74.6,36.1,1,5819291900,21781265923,723999,2761634
20148048,베테랑,2015-08-05,2015-08-10,5 days 00:00:00.000000000,5,5226,58.831,1,1016,52.2,1,965235,43.6,37.25,1,3180133300,24961399223,420701,3182335
20148048,베테랑,2015-08-05,2015-08-11,6 days 00:00:00.000000000,6,5258,58.422,1,1040,50.3,1,974081,41.9,37.56,1,3069469900,28030869123,407694,3590029
20148048,베테랑,2015-08-05,2015-08-12,7 days 00:00:00.000000000,7,5405,59.592,1,1057,53.1,1,1014781,38.7,38.96,1,2960267600,30991136723,392815,3982844
20148048,베테랑,2015-08-05,2015-08-13,8 days 00:00:00.000000000,8,4814,39.599,1,907,33.3,1,987971,41.2,36.74,1,3079775800,34070912523,406788,4389632
20148048,베테랑,2015-08-05,2015-08-14,9 days 00:00:00.000000000,9,5235,42.327,1,1034,35.2,1,1068402,66.9,38.7,1,5721321489,39792234012,715051,5104683
20148048,베테랑,2015-08-05,2015-08-15,10 days 00:00:00.000000000,10,5629,45.88399999999999,1,1115,37.2,1,1140118,72.6,41.09,1,6658053353,46450287365,827984,5932667
20148048,베테랑,2015-08-05,2015-08-16,11 days 00:00:00.000000000,11,5523,46.287,1,1110,36.6,1,1120502,63.5,41.28,1,5736846100,52187133465,711071,6643738
20148048,베테랑,2015-08-05,2015-08-17,12 days 00:00:00.000000000,12,5054,43.803,1,964,35.7,1,1028312,30.2,40.32,1,2360041900,54547175365,310651,6954389
20148048,베테랑,2015-08-05,2015-08-18,13 days 00:00:00.000000000,13,5065,44.00899999999999,1,973,35.4,1,1031387,26.7,40.37,1,2085923100,56633098465,275747,7230136
20148048,베테랑,2015-08-05,2015-08-19,14 days 00:00:00.000000000,14,5063,44.187,1,983,35.5,1,1024081,23.9,40.24,1,1852684700,58485783165,244240,7474376
20148048,베테랑,2015-08-05,2015-08-20,15 days 00:00:00.000000000,15,4184,36.122,1,813,26.8,1,868041,25.8,32.99,1,1701067000,60186850165,223836,7698212
20148048,베테랑,2015-08-05,2015-08-21,16 days 00:00:00.000000000,16,4331,36.669,1,825,27.4,1,898623,31.8,33.72,1,2311128525,62497978690,285776,7983988
20148048,베테랑,2015-08-05,2015-08-22,17 days 00:00:00.000000000,17,4736,39.076,1,906,29.2,1,979831,54.7,35.77,1,4354341431,66852320121,535808,8519796
20148048,베테랑,2015-08-05,2015-08-23,18 days 00:00:00.000000000,18,4633,39.12300000000001,1,892,29.2,1,960194,54.6,35.88,1,4228577200,71080897321,524191,9043987
20148048,베테랑,2015-08-05,2015-08-24,19 days 00:00:00.000000000,19,4240,37.186,1,809,27.5,1,876649,19.3,35.18,1,1285800600,72366697921,169321,9213308
20148048,베테랑,2015-08-05,2015-08-25,20 days 00:00:00.000000000,20,4228,37.343,1,824,27.5,1,871084,20.9,35.23,1,1372123700,73738821621,181855,9395163
20148048,베테랑,2015-08-05,2015-08-26,21 days 00:00:00.000000000,21,4269,37.401,1,836,27.3,1,885524,22.6,35.8,1,1306119200,75044940821,200266,9595429
20148048,베테랑,2015-08-05,2015-08-27,22 days 00:00:00.000000000,22,4271,36.969,1,839,30.6,1,887913,15.6,35.05,1,1041683100,76086623921,138587,9734016
