영화코드,영화명,개봉일,점유율집계일,개봉n일차,개봉n일차(int),상영횟수,상영점유율,상영점유율순위,스크린수,스크린점유율,스크린점유율순위,좌석수,좌석판매율,좌석점유율,좌석점유율순위,매출액,누적매출액,관객수,누적관객수
20140704,비밀은 없다,2016-06-23,2016-06-23,0 days 00:00:00.000000000,0,2334,41.237,1,463,27.9,2,349035,15.3,13.23,1,404585600,428941600,53485,56552
20140704,비밀은 없다,2016-06-23,2016-06-24,1 days 00:00:00.000000000,1,2323,40.218,1,474,27.3,2,345879,12.8,12.84,1,372690283,801631883,44302,100854
20140704,비밀은 없다,2016-06-23,2016-06-25,2 days 00:00:00.000000000,2,2083,38.073,1,502,28.6,2,305003,16.9,10.85,1,442132256,1243764139,51512,152366
20140704,비밀은 없다,2016-06-23,2016-06-26,3 days 00:00:00.000000000,3,1954,37.177,1,493,28.8,2,283987,14.6,10.35,1,356135200,1599899339,41340,193706
20140704,비밀은 없다,2016-06-23,2016-06-27,4 days 00:00:00.000000000,4,1994,35.645,1,435,26.1,3,287979,6.5,11.24,1,140908500,1740807839,18830,212536
20140704,비밀은 없다,2016-06-23,2016-06-28,5 days 00:00:00.000000000,5,1922,34.599000000000004,1,438,25.7,3,279945,6.4,10.99,1,132382200,1873190039,17817,230353
20140704,비밀은 없다,2016-06-23,2016-06-29,6 days 00:00:00.000000000,6,492,5.36,5,269,10.3,5,60210,7.2,2.19,5,28806600,1901996639,4341,234694
20140704,비밀은 없다,2016-06-23,2016-06-30,7 days 00:00:00.000000000,7,327,3.534,5,183,7.3,5,37964,6.0,1.37,5,17320900,1919317539,2277,236971
20140704,비밀은 없다,2016-06-23,2016-07-01,8 days 00:00:00.000000000,8,278,2.945,5,159,6.2,5,31768,6.0,1.13,5,16090100,1935407639,1906,238877
20140704,비밀은 없다,2016-06-23,2016-07-02,9 days 00:00:00.000000000,9,178,1.836,5,120,4.5,5,19918,10.1,0.67,6,16804800,1952212439,2009,240886
20140704,비밀은 없다,2016-06-23,2016-07-03,10 days 00:00:00.000000000,10,171,1.857,5,113,4.4,5,19754,9.5,0.68,6,15754800,1967967239,1871,242757
20140704,비밀은 없다,2016-06-23,2016-07-04,11 days 00:00:00.000000000,11,242,2.724,5,141,5.9,5,27464,6.1,1.03,5,12422000,1980389239,1670,244427
20140704,비밀은 없다,2016-06-23,2016-07-05,12 days 00:00:00.000000000,12,240,2.737,5,141,5.8,5,26970,6.8,1.02,5,13721500,1994110739,1842,246269
